ProductsCategory,ProductsName,ProductsLossRate
Capsicum,"7 Colour Pepper (Bag)",9.43%
Capsicum,"Green Hot Peppers (Bag)",9.43%
Capsicum,"Millet Pepper (Bag)",9.43%
Capsicum,"Purple Hot Peppers",9.43%
Capsicum,Yuganjiao,9.43%
Capsicum,"Pepper Mix",9.43%
Capsicum,"Fruit Pepper (Orange)",9.43%
"Edible Mushroom","Mushroom And Leaf Mix (Bag)",9.43%
"Edible Mushroom","Xixia Xianggu Mushroom (Bag)",9.43%
"Edible Mushroom","The Fungus Mushroom Hot Pot Package (Bag)",9.43%
"Edible Mushroom","Black Mushroom (Bag)",9.43%
"Edible Mushroom","Xixia Black Mushroom (2)",9.43%
"Edible Mushroom","Apricot Bao Mushroom (2)",9.43%
"Edible Mushroom","Needle Mushroom (2)",9.43%
"Edible Mushroom","Jigu (2)",9.43%
"Edible Mushroom","Fresh Sea (2)",9.43%
"Edible Mushroom","Fresh Edible Fungus (2)",9.43%
"Edible Mushroom","Xixia Xianggu Mushroom (2)",9.43%
"Edible Mushroom","Jigu (Bag)",9.43%
"Edible Mushroom","Needle Mushroom (Bag)",9.43%
"Edible Mushroom","Agaricus Bisporus (Bag)",9.43%
"Edible Mushroom","Fresh Edible Fungus (Bag)",9.43%
"Edible Mushroom","Haixian Mushroom (Bag)",9.43%
"Edible Mushroom","Apricot Bao Mushroom (250 G)",9.43%
"Edible Mushroom","The White Mushroom (1)",9.43%
"Edible Mushroom","The Crab Flavor Mushroom (1)",9.24%
"Edible Mushroom","Tremella (Flower)",9.14%
Capsicum,"Green Hangzhou Pepper (2)",9%
"Edible Mushroom","Jigu Mushroom (1)",8.99%
Capsicum,"The Red Bell Pepper (1)",8.93%
"Edible Mushroom","Needle Mushroom (Bag) (1)",8.85%
Capsicum,"Wuhu Green Pepper (2)",8.78%
"Edible Mushroom","Chopped Red Pine",8.75%
Capsicum,Xiaozhoupi,8.71%
"Edible Mushroom","Embroidered Aureus (Bag)",8.34%
