date,ProductsName,TotalSales,DateRunningTotal
2020-11-01,"Niushou Shengcai",¥1.41,¥128.77
2020-12-04,"Niushou Shengcai",¥1.31,¥146.69
2020-12-04,"Niushou Shengcai",¥1.11,¥146.69
2020-12-04,"Niushou Shengcai",¥0.6,¥146.69
2020-12-04,"Niushou Shengcai",¥1.01,¥146.69
2020-12-04,"Niushou Shengcai",¥0.91,¥146.69
2020-12-04,"Niushou Shengcai",¥0.4,¥146.69
2020-12-04,"Niushou Shengcai",¥0.7,¥146.69
2020-12-04,"Niushou Shengcai",¥0.5,¥146.69
2020-12-04,"Niushou Shengcai",¥1.51,¥146.69
2020-12-04,"Niushou Shengcai",¥1.61,¥146.69
2020-12-04,"Niushou Shengcai",¥0.5,¥146.69
2020-12-04,"Niushou Shengcai",¥0.6,¥146.69
2020-12-04,"Niushou Shengcai",¥1.61,¥146.69
2020-12-04,"Niushou Shengcai",¥2.01,¥146.69
2020-12-04,"Niushou Shengcai",¥1.31,¥146.69
2020-12-04,"Niushou Shengcai",¥0.91,¥146.69
2020-12-04,"Niushou Shengcai",¥1.31,¥146.69
2021-03-03,"Niushou Shengcai",¥3.91,¥204.53
2021-03-03,"Niushou Shengcai",¥2.31,¥204.53
2021-03-03,"Niushou Shengcai",¥2.71,¥204.53
2021-03-03,"Niushou Shengcai",¥3.01,¥204.53
2021-03-03,"Niushou Shengcai",¥2.51,¥204.53
2021-03-03,"Niushou Shengcai",¥3.12,¥204.53
2021-03-03,"Niushou Shengcai",¥3.52,¥204.53
2021-03-03,"Niushou Shengcai",¥1.91,¥204.53
2021-03-03,"Niushou Shengcai",¥0.9,¥204.53
2021-03-03,"Niushou Shengcai",¥1.11,¥204.53
2021-03-03,"Niushou Shengcai",¥4.82,¥204.53
2021-03-03,"Niushou Shengcai",¥0.8,¥204.53
2021-03-03,"Niushou Shengcai",¥1.61,¥204.53
2021-03-03,"Niushou Shengcai",¥2.41,¥204.53
2021-03-03,"Niushou Shengcai",¥1.4,¥204.53
2021-03-03,"Niushou Shengcai",¥1.81,¥204.53
2021-03-03,"Niushou Shengcai",¥2.01,¥204.53
2021-03-03,"Niushou Shengcai",¥3.42,¥204.53
2021-03-03,"Niushou Shengcai",¥1.61,¥204.53
2021-03-03,"Niushou Shengcai",¥1.4,¥204.53
2021-03-03,"Niushou Shengcai",¥2.21,¥204.53
2021-03-03,"Niushou Shengcai",¥2.51,¥204.53
2021-03-03,"Niushou Shengcai",¥1.01,¥204.53
2021-03-03,"Niushou Shengcai",¥2.21,¥204.53
2021-03-03,"Niushou Shengcai",¥1.91,¥204.53
2021-03-03,"Niushou Shengcai",¥1.7,¥204.53
2021-03-04,"Niushou Shengcai",¥1.21,¥281.38
2021-03-04,"Niushou Shengcai",¥1.41,¥281.38
2021-03-04,"Niushou Shengcai",¥1.01,¥281.38
2021-03-04,"Niushou Shengcai",¥1.31,¥281.38
2021-03-04,"Niushou Shengcai",¥1.1,¥281.38
2021-03-04,"Niushou Shengcai",¥1.41,¥281.38
2021-03-04,"Niushou Shengcai",¥1.31,¥281.38
2021-03-04,"Niushou Shengcai",¥2.52,¥281.38
2021-03-04,"Niushou Shengcai",¥1.91,¥281.38
2021-03-04,"Niushou Shengcai",¥1.81,¥281.38
2021-03-04,"Niushou Shengcai",¥0.7,¥281.38
2021-03-04,"Niushou Shengcai",¥4.73,¥281.38
2021-03-04,"Niushou Shengcai",¥2.52,¥281.38
2021-03-04,"Niushou Shengcai",¥1.21,¥281.38
2021-03-04,"Niushou Shengcai",¥1.1,¥281.38
2021-03-04,"Niushou Shengcai",¥1.21,¥281.38
2021-03-04,"Niushou Shengcai",¥1.31,¥281.38
2021-03-04,"Niushou Shengcai",¥2.11,¥281.38
2021-03-04,"Niushou Shengcai",¥1.1,¥281.38
2021-03-04,"Niushou Shengcai",¥1.91,¥281.38
2021-03-04,"Niushou Shengcai",¥1.91,¥281.38
2021-03-04,"Niushou Shengcai",¥2.11,¥281.38
2021-03-04,"Niushou Shengcai",¥2.11,¥281.38
2021-03-04,"Niushou Shengcai",¥1.91,¥281.38
2021-03-04,"Niushou Shengcai",¥1.31,¥281.38
2021-03-04,"Niushou Shengcai",¥1.41,¥281.38
2021-03-04,"Niushou Shengcai",¥1.81,¥281.38
2021-03-04,"Niushou Shengcai",¥1.31,¥281.38
2021-03-04,"Niushou Shengcai",¥1.21,¥281.38
2021-03-04,"Niushou Shengcai",¥1.21,¥281.38
2021-03-04,"Niushou Shengcai",¥0.9,¥281.38
2021-03-04,"Niushou Shengcai",¥2.41,¥281.38
2021-03-04,"Niushou Shengcai",¥2.52,¥281.38
2021-03-04,"Niushou Shengcai",¥1.91,¥281.38
2021-03-04,"Niushou Shengcai",¥1.51,¥281.38
2021-03-04,"Niushou Shengcai",¥1.01,¥281.38
2021-03-04,"Niushou Shengcai",¥1.01,¥281.38
2021-03-04,"Niushou Shengcai",¥1.71,¥281.38
2021-03-04,"Niushou Shengcai",¥1.41,¥281.38
2021-03-04,"Niushou Shengcai",¥0.9,¥281.38
2021-03-04,"Niushou Shengcai",¥1.31,¥281.38
2021-03-04,"Niushou Shengcai",¥1.51,¥281.38
2021-03-04,"Niushou Shengcai",¥3.22,¥281.38
2021-03-04,"Niushou Shengcai",¥1.91,¥281.38
2021-03-04,"Niushou Shengcai",¥1.01,¥281.38
2021-03-04,"Niushou Shengcai",¥2.01,¥281.38
2021-03-04,"Niushou Shengcai",¥1.41,¥281.38
2021-03-05,"Niushou Shengcai",¥0.9,¥352.91
2021-03-05,"Niushou Shengcai",¥1.01,¥352.91
2021-03-05,"Niushou Shengcai",¥1.91,¥352.91
2021-03-05,"Niushou Shengcai",¥0.7,¥352.91
2021-03-05,"Niushou Shengcai",¥2.01,¥352.91
2021-03-05,"Niushou Shengcai",¥1.31,¥352.91
2021-03-05,"Niushou Shengcai",¥1.51,¥352.91
2021-03-05,"Niushou Shengcai",¥1.01,¥352.91
2021-03-05,"Niushou Shengcai",¥1.51,¥352.91
2021-03-05,"Niushou Shengcai",¥0.81,¥352.91
2021-03-05,"Niushou Shengcai",¥1.21,¥352.91
2021-03-05,"Niushou Shengcai",¥2.52,¥352.91
2021-03-05,"Niushou Shengcai",¥1.81,¥352.91
2021-03-05,"Niushou Shengcai",¥0.9,¥352.91
2021-03-05,"Niushou Shengcai",¥1.61,¥352.91
2021-03-05,"Niushou Shengcai",¥0.81,¥352.91
2021-03-05,"Niushou Shengcai",¥1.41,¥352.91
2021-03-05,"Niushou Shengcai",¥1.01,¥352.91
2021-03-05,"Niushou Shengcai",¥2.41,¥352.91
2021-03-05,"Niushou Shengcai",¥2.41,¥352.91
2021-03-05,"Niushou Shengcai",¥0.7,¥352.91
2021-03-05,"Niushou Shengcai",¥1.41,¥352.91
2021-03-05,"Niushou Shengcai",¥0.81,¥352.91
2021-03-05,"Niushou Shengcai",¥1.61,¥352.91
2021-03-05,"Niushou Shengcai",¥1.41,¥352.91
2021-03-05,"Niushou Shengcai",¥0.81,¥352.91
2021-03-05,"Niushou Shengcai",¥0.7,¥352.91
2021-03-05,"Niushou Shengcai",¥0.61,¥352.91
2021-03-05,"Niushou Shengcai",¥0.81,¥352.91
2021-03-05,"Niushou Shengcai",¥2.11,¥352.91
2021-03-05,"Niushou Shengcai",¥4.02,¥352.91
2021-03-05,"Niushou Shengcai",¥0.4,¥352.91
2021-03-05,"Niushou Shengcai",¥0.9,¥352.91
2021-03-05,"Niushou Shengcai",¥2.01,¥352.91
2021-03-05,"Niushou Shengcai",¥1.71,¥352.91
2021-03-05,"Niushou Shengcai",¥1.61,¥352.91
2021-03-05,"Niushou Shengcai",¥1.71,¥352.91
2021-03-05,"Niushou Shengcai",¥2.32,¥352.91
2021-03-05,"Niushou Shengcai",¥0.81,¥352.91
2021-03-05,"Niushou Shengcai",¥1.41,¥352.91
2021-03-05,"Niushou Shengcai",¥1.91,¥352.91
2021-03-05,"Niushou Shengcai",¥0.7,¥352.91
2021-03-05,"Niushou Shengcai",¥0.81,¥352.91
2021-03-05,"Niushou Shengcai",¥0.5,¥352.91
2021-03-05,"Niushou Shengcai",¥1.1,¥352.91
2021-03-05,"Niushou Shengcai",¥1.31,¥352.91
2021-03-05,"Niushou Shengcai",¥0.9,¥352.91
2021-03-05,"Niushou Shengcai",¥1.61,¥352.91
2021-03-05,"Niushou Shengcai",¥0.9,¥352.91
2021-03-05,"Niushou Shengcai",¥2.32,¥352.91
2021-03-05,"Niushou Shengcai",¥1.21,¥352.91
2021-03-05,"Niushou Shengcai",¥1.61,¥352.91
2021-03-06,"Niushou Shengcai",¥1.21,¥417.38
2021-03-06,"Niushou Shengcai",¥0.9,¥417.38
2021-03-06,"Niushou Shengcai",¥1.1,¥417.38
2021-03-06,"Niushou Shengcai",¥0.81,¥417.38
2021-03-06,"Niushou Shengcai",¥1.31,¥417.38
2021-03-06,"Niushou Shengcai",¥0.81,¥417.38
2021-03-06,"Niushou Shengcai",¥1.51,¥417.38
2021-03-06,"Niushou Shengcai",¥1.31,¥417.38
2021-03-06,"Niushou Shengcai",¥1.01,¥417.38
2021-03-06,"Niushou Shengcai",¥1.41,¥417.38
2021-03-06,"Niushou Shengcai",¥2.41,¥417.38
2021-03-06,"Niushou Shengcai",¥1.41,¥417.38
2021-03-06,"Niushou Shengcai",¥2.61,¥417.38
2021-03-06,"Niushou Shengcai",¥2.01,¥417.38
2021-03-06,"Niushou Shengcai",¥1.01,¥417.38
2021-03-06,"Niushou Shengcai",¥0.9,¥417.38
2021-03-06,"Niushou Shengcai",¥2.61,¥417.38
2021-03-06,"Niushou Shengcai",¥1.31,¥417.38
2021-03-06,"Niushou Shengcai",¥0.5,¥417.38
2021-03-06,"Niushou Shengcai",¥1.01,¥417.38
2021-03-06,"Niushou Shengcai",¥0.9,¥417.38
2021-03-06,"Niushou Shengcai",¥1.31,¥417.38
2021-03-06,"Niushou Shengcai",¥0.9,¥417.38
2021-03-06,"Niushou Shengcai",¥0.9,¥417.38
2021-03-06,"Niushou Shengcai",¥2.11,¥417.38
2021-03-06,"Niushou Shengcai",¥2.01,¥417.38
2021-03-06,"Niushou Shengcai",¥1.51,¥417.38
2021-03-06,"Niushou Shengcai",¥1.61,¥417.38
2021-03-06,"Niushou Shengcai",¥0.7,¥417.38
2021-03-06,"Niushou Shengcai",¥0.5,¥417.38
2021-03-06,"Niushou Shengcai",¥1.1,¥417.38
2021-03-06,"Niushou Shengcai",¥0.9,¥417.38
2021-03-06,"Niushou Shengcai",¥0.9,¥417.38
2021-03-06,"Niushou Shengcai",¥0.9,¥417.38
2021-03-06,"Niushou Shengcai",¥2.01,¥417.38
2021-03-06,"Niushou Shengcai",¥0.81,¥417.38
2021-03-06,"Niushou Shengcai",¥2.32,¥417.38
2021-03-06,"Niushou Shengcai",¥2.11,¥417.38
2021-03-06,"Niushou Shengcai",¥0.7,¥417.38
2021-03-06,"Niushou Shengcai",¥1.61,¥417.38
2021-03-06,"Niushou Shengcai",¥0.81,¥417.38
2021-03-06,"Niushou Shengcai",¥1.01,¥417.38
2021-03-06,"Niushou Shengcai",¥1.31,¥417.38
2021-03-06,"Niushou Shengcai",¥1.71,¥417.38
2021-03-06,"Niushou Shengcai",¥1.1,¥417.38
2021-03-06,"Niushou Shengcai",¥1.51,¥417.38
2021-03-06,"Niushou Shengcai",¥1.51,¥417.38
2021-03-06,"Niushou Shengcai",¥0.4,¥417.38
2021-03-06,"Niushou Shengcai",¥2.11,¥417.38
2021-03-07,"Niushou Shengcai",¥1.1,¥491.13
2021-03-07,"Niushou Shengcai",¥1.61,¥491.13
2021-03-07,"Niushou Shengcai",¥1.41,¥491.13
2021-03-07,"Niushou Shengcai",¥0.5,¥491.13
2021-03-07,"Niushou Shengcai",¥0.7,¥491.13
2021-03-07,"Niushou Shengcai",¥2.21,¥491.13
2021-03-07,"Niushou Shengcai",¥0.7,¥491.13
2021-03-07,"Niushou Shengcai",¥2.32,¥491.13
2021-03-07,"Niushou Shengcai",¥0.81,¥491.13
2021-03-07,"Niushou Shengcai",¥0.2,¥491.13
2021-03-07,"Niushou Shengcai",¥0.81,¥491.13
2021-03-07,"Niushou Shengcai",¥0.3,¥491.13
2021-03-07,"Niushou Shengcai",¥0.61,¥491.13
2021-03-07,"Niushou Shengcai",¥0.7,¥491.13
2021-03-07,"Niushou Shengcai",¥1.41,¥491.13
2021-03-07,"Niushou Shengcai",¥1.91,¥491.13
2021-03-07,"Niushou Shengcai",¥1.81,¥491.13
2021-03-07,"Niushou Shengcai",¥0.5,¥491.13
2021-03-07,"Niushou Shengcai",¥0.61,¥491.13
2021-03-07,"Niushou Shengcai",¥1.71,¥491.13
2021-03-07,"Niushou Shengcai",¥1.01,¥491.13
2021-03-07,"Niushou Shengcai",¥1.71,¥491.13
2021-03-07,"Niushou Shengcai",¥0.4,¥491.13
2021-03-07,"Niushou Shengcai",¥1.01,¥491.13
2021-03-07,"Niushou Shengcai",¥2.41,¥491.13
2021-03-07,"Niushou Shengcai",¥1.31,¥491.13
2021-03-07,"Niushou Shengcai",¥2.61,¥491.13
2021-03-07,"Niushou Shengcai",¥1.91,¥491.13
2021-03-07,"Niushou Shengcai",¥1.21,¥491.13
2021-03-07,"Niushou Shengcai",¥0.81,¥491.13
2021-03-07,"Niushou Shengcai",¥1.61,¥491.13
2021-03-07,"Niushou Shengcai",¥1.31,¥491.13
2021-03-07,"Niushou Shengcai",¥0.7,¥491.13
2021-03-07,"Niushou Shengcai",¥2.41,¥491.13
2021-03-07,"Niushou Shengcai",¥2.32,¥491.13
2021-03-07,"Niushou Shengcai",¥0.7,¥491.13
2021-03-07,"Niushou Shengcai",¥1.51,¥491.13
2021-03-07,"Niushou Shengcai",¥1.31,¥491.13
2021-03-07,"Niushou Shengcai",¥0.9,¥491.13
2021-03-07,"Niushou Shengcai",¥1.81,¥491.13
2021-03-07,"Niushou Shengcai",¥1.21,¥491.13
2021-03-07,"Niushou Shengcai",¥0.61,¥491.13
2021-03-07,"Niushou Shengcai",¥2.21,¥491.13
2021-03-07,"Niushou Shengcai",¥1.01,¥491.13
2021-03-07,"Niushou Shengcai",¥1.01,¥491.13
2021-03-07,"Niushou Shengcai",¥2.01,¥491.13
2021-03-07,"Niushou Shengcai",¥1.1,¥491.13
2021-03-07,"Niushou Shengcai",¥2.21,¥491.13
2021-03-07,"Niushou Shengcai",¥1.41,¥491.13
2021-03-07,"Niushou Shengcai",¥2.01,¥491.13
2021-03-07,"Niushou Shengcai",¥1.21,¥491.13
2021-03-07,"Niushou Shengcai",¥1.91,¥491.13
2021-03-07,"Niushou Shengcai",¥2.11,¥491.13
2021-03-07,"Niushou Shengcai",¥2.01,¥491.13
2021-03-07,"Niushou Shengcai",¥0.81,¥491.13
2021-03-09,"Niushou Shengcai",¥1.01,¥515.17
2021-03-09,"Niushou Shengcai",¥2.52,¥515.17
2021-03-09,"Niushou Shengcai",¥1.81,¥515.17
2021-03-09,"Niushou Shengcai",¥0.81,¥515.17
2021-03-09,"Niushou Shengcai",¥0.81,¥515.17
2021-03-09,"Niushou Shengcai",¥0.81,¥515.17
2021-03-09,"Niushou Shengcai",¥0.9,¥515.17
2021-03-09,"Niushou Shengcai",¥1.51,¥515.17
2021-03-09,"Niushou Shengcai",¥1.61,¥515.17
2021-03-09,"Niushou Shengcai",¥1.51,¥515.17
2021-03-09,"Niushou Shengcai",¥1.31,¥515.17
2021-03-09,"Niushou Shengcai",¥1.61,¥515.17
2021-03-09,"Niushou Shengcai",¥1.41,¥515.17
2021-03-09,"Niushou Shengcai",¥1.01,¥515.17
2021-03-09,"Niushou Shengcai",¥1.41,¥515.17
2021-03-09,"Niushou Shengcai",¥0.81,¥515.17
2021-03-09,"Niushou Shengcai",¥2.11,¥515.17
2021-03-09,"Niushou Shengcai",¥1.1,¥515.17
2021-03-14,"Niushou Shengcai",¥1.31,¥532.88
2021-03-14,"Niushou Shengcai",¥0.81,¥532.88
2021-03-14,"Niushou Shengcai",¥1.61,¥532.88
2021-03-14,"Niushou Shengcai",¥1.31,¥532.88
2021-03-14,"Niushou Shengcai",¥1.51,¥532.88
2021-03-14,"Niushou Shengcai",¥1.61,¥532.88
2021-03-14,"Niushou Shengcai",¥1.51,¥532.88
2021-03-14,"Niushou Shengcai",¥0.81,¥532.88
2021-03-14,"Niushou Shengcai",¥2.72,¥532.88
2021-03-14,"Niushou Shengcai",¥0.7,¥532.88
2021-03-14,"Niushou Shengcai",¥1.21,¥532.88
2021-03-14,"Niushou Shengcai",¥2.61,¥532.88
2021-05-05,"Niushou Shengcai",¥1.11,¥551.11
2021-05-05,"Niushou Shengcai",¥0.81,¥551.11
2021-05-05,"Niushou Shengcai",¥1.22,¥551.11
2021-05-05,"Niushou Shengcai",¥0.51,¥551.11
2021-05-05,"Niushou Shengcai",¥1.82,¥551.11
2021-05-05,"Niushou Shengcai",¥0.81,¥551.11
2021-05-05,"Niushou Shengcai",¥0.51,¥551.11
2021-05-05,"Niushou Shengcai",¥0.3,¥551.11
2021-05-05,"Niushou Shengcai",¥1.82,¥551.11
2021-05-05,"Niushou Shengcai",¥0.4,¥551.11
2021-05-05,"Niushou Shengcai",¥1.52,¥551.11
2021-05-05,"Niushou Shengcai",¥0.51,¥551.11
2021-05-05,"Niushou Shengcai",¥0.91,¥551.11
2021-05-05,"Niushou Shengcai",¥0.51,¥551.11
2021-05-05,"Niushou Shengcai",¥1.62,¥551.11
2021-05-05,"Niushou Shengcai",¥1.22,¥551.11
2021-05-05,"Niushou Shengcai",¥1.22,¥551.11
2021-05-05,"Niushou Shengcai",¥1.42,¥551.11
2021-05-06,"Niushou Shengcai",¥0.71,¥559.84
2021-05-06,"Niushou Shengcai",¥0.41,¥559.84
2021-05-06,"Niushou Shengcai",¥0.41,¥559.84
2021-05-06,"Niushou Shengcai",¥0.3,¥559.84
2021-05-06,"Niushou Shengcai",¥1.62,¥559.84
2021-05-06,"Niushou Shengcai",¥0.51,¥559.84
2021-05-06,"Niushou Shengcai",¥0.61,¥559.84
2021-05-06,"Niushou Shengcai",¥0.41,¥559.84
2021-05-06,"Niushou Shengcai",¥1.32,¥559.84
2021-05-06,"Niushou Shengcai",¥0.81,¥559.84
2021-05-06,"Niushou Shengcai",¥1.12,¥559.84
2021-05-06,"Niushou Shengcai",¥0.51,¥559.84
2021-05-07,"Niushou Shengcai",¥0.2,¥569.68
2021-05-07,"Niushou Shengcai",¥0.81,¥569.68
2021-05-07,"Niushou Shengcai",¥0.61,¥569.68
2021-05-07,"Niushou Shengcai",¥0.81,¥569.68
2021-05-07,"Niushou Shengcai",¥0.51,¥569.68
2021-05-07,"Niushou Shengcai",¥0.81,¥569.68
2021-05-07,"Niushou Shengcai",¥0.51,¥569.68
2021-05-07,"Niushou Shengcai",¥0.81,¥569.68
2021-05-07,"Niushou Shengcai",¥0.71,¥569.68
2021-05-07,"Niushou Shengcai",¥0.51,¥569.68
2021-05-07,"Niushou Shengcai",¥0.91,¥569.68
2021-05-07,"Niushou Shengcai",¥1.62,¥569.68
2021-05-07,"Niushou Shengcai",¥1.02,¥569.68
2021-05-08,"Niushou Shengcai",¥1.11,¥583.22
2021-05-08,"Niushou Shengcai",¥0.81,¥583.22
2021-05-08,"Niushou Shengcai",¥0.51,¥583.22
2021-05-08,"Niushou Shengcai",¥0.81,¥583.22
2021-05-08,"Niushou Shengcai",¥0.81,¥583.22
2021-05-08,"Niushou Shengcai",¥0.81,¥583.22
2021-05-08,"Niushou Shengcai",¥0.51,¥583.22
2021-05-08,"Niushou Shengcai",¥1.01,¥583.22
2021-05-08,"Niushou Shengcai",¥0.81,¥583.22
2021-05-08,"Niushou Shengcai",¥0.61,¥583.22
2021-05-08,"Niushou Shengcai",¥0.61,¥583.22
2021-05-08,"Niushou Shengcai",¥0.81,¥583.22
2021-05-08,"Niushou Shengcai",¥0.91,¥583.22
2021-05-08,"Niushou Shengcai",¥0.91,¥583.22
2021-05-08,"Niushou Shengcai",¥0.61,¥583.22
2021-05-08,"Niushou Shengcai",¥0.91,¥583.22
2021-05-08,"Niushou Shengcai",¥0.71,¥583.22
2021-05-08,"Niushou Shengcai",¥0.3,¥583.22
2021-05-09,"Niushou Shengcai",¥1.01,¥605.95
2021-05-09,"Niushou Shengcai",¥0.61,¥605.95
2021-05-09,"Niushou Shengcai",¥1.11,¥605.95
2021-05-09,"Niushou Shengcai",¥1.01,¥605.95
2021-05-09,"Niushou Shengcai",¥0.51,¥605.95
2021-05-09,"Niushou Shengcai",¥1.21,¥605.95
2021-05-09,"Niushou Shengcai",¥1.72,¥605.95
2021-05-09,"Niushou Shengcai",¥1.41,¥605.95
2021-05-09,"Niushou Shengcai",¥1.52,¥605.95
2021-05-09,"Niushou Shengcai",¥0.4,¥605.95
2021-05-09,"Niushou Shengcai",¥1.82,¥605.95
2021-05-09,"Niushou Shengcai",¥0.71,¥605.95
2021-05-09,"Niushou Shengcai",¥1.31,¥605.95
2021-05-09,"Niushou Shengcai",¥0.71,¥605.95
2021-05-09,"Niushou Shengcai",¥1.21,¥605.95
2021-05-09,"Niushou Shengcai",¥0.71,¥605.95
2021-05-09,"Niushou Shengcai",¥0.61,¥605.95
2021-05-09,"Niushou Shengcai",¥1.11,¥605.95
2021-05-09,"Niushou Shengcai",¥1.31,¥605.95
2021-05-09,"Niushou Shengcai",¥1.72,¥605.95
2021-05-09,"Niushou Shengcai",¥0.61,¥605.95
2021-05-09,"Niushou Shengcai",¥0.4,¥605.95
2021-05-10,"Niushou Shengcai",¥1.11,¥640.62
2021-05-10,"Niushou Shengcai",¥1.11,¥640.62
2021-05-10,"Niushou Shengcai",¥0.51,¥640.62
2021-05-10,"Niushou Shengcai",¥0.51,¥640.62
2021-05-10,"Niushou Shengcai",¥1.41,¥640.62
2021-05-10,"Niushou Shengcai",¥0.61,¥640.62
2021-05-10,"Niushou Shengcai",¥0.91,¥640.62
2021-05-10,"Niushou Shengcai",¥1.52,¥640.62
2021-05-10,"Niushou Shengcai",¥1.92,¥640.62
2021-05-10,"Niushou Shengcai",¥1.11,¥640.62
2021-05-10,"Niushou Shengcai",¥0.61,¥640.62
2021-05-10,"Niushou Shengcai",¥1.31,¥640.62
2021-05-10,"Niushou Shengcai",¥1.11,¥640.62
2021-05-10,"Niushou Shengcai",¥1.72,¥640.62
2021-05-10,"Niushou Shengcai",¥1.82,¥640.62
2021-05-10,"Niushou Shengcai",¥0.61,¥640.62
2021-05-10,"Niushou Shengcai",¥0.81,¥640.62
2021-05-10,"Niushou Shengcai",¥0.4,¥640.62
2021-05-10,"Niushou Shengcai",¥0.91,¥640.62
2021-05-10,"Niushou Shengcai",¥1.11,¥640.62
2021-05-10,"Niushou Shengcai",¥1.41,¥640.62
2021-05-10,"Niushou Shengcai",¥1.01,¥640.62
2021-05-10,"Niushou Shengcai",¥0.51,¥640.62
2021-05-10,"Niushou Shengcai",¥1.21,¥640.62
2021-05-10,"Niushou Shengcai",¥0.61,¥640.62
2021-05-10,"Niushou Shengcai",¥1.01,¥640.62
2021-05-10,"Niushou Shengcai",¥0.3,¥640.62
2021-05-10,"Niushou Shengcai",¥1.11,¥640.62
2021-05-10,"Niushou Shengcai",¥1.62,¥640.62
2021-05-10,"Niushou Shengcai",¥0.51,¥640.62
2021-05-10,"Niushou Shengcai",¥1.11,¥640.62
2021-05-10,"Niushou Shengcai",¥1.82,¥640.62
2021-05-10,"Niushou Shengcai",¥1.31,¥640.62
2021-05-11,"Niushou Shengcai",¥1.11,¥673.96
2021-05-11,"Niushou Shengcai",¥1.41,¥673.96
2021-05-11,"Niushou Shengcai",¥1.62,¥673.96
2021-05-11,"Niushou Shengcai",¥1.01,¥673.96
2021-05-11,"Niushou Shengcai",¥0.81,¥673.96
2021-05-11,"Niushou Shengcai",¥2.12,¥673.96
2021-05-11,"Niushou Shengcai",¥0.61,¥673.96
2021-05-11,"Niushou Shengcai",¥0.61,¥673.96
2021-05-11,"Niushou Shengcai",¥1.41,¥673.96
2021-05-11,"Niushou Shengcai",¥1.01,¥673.96
2021-05-11,"Niushou Shengcai",¥1.52,¥673.96
2021-05-11,"Niushou Shengcai",¥1.01,¥673.96
