ProductsName,ProductsCategory,TotalTransactions,TransactionRank
"Bell Pepper (Bag)",Capsicum,6,41
"Green Hangjiao (1)",Capsicum,5,42
"Fruit Pepper (Orange)",Capsicum,1,43
"Xixia Mushroom (1)","Edible Mushroom",47509,1
"Needle Mushroom (Box)","Edible Mushroom",15591,2
"Xixia Black Mushroom (1)","Edible Mushroom",11407,3
"Needle Mushroom (1)","Edible Mushroom",11283,4
"Apricot Bao Mushroom (1)","Edible Mushroom",7581,5
"Ping Mushroom","Edible Mushroom",6884,6
"Apricot Bao Mushroom (2)","Edible Mushroom",5063,7
"Agaricus Bisporus (Box)","Edible Mushroom",4232,8
"Needle Mushroom (Bag) (2)","Edible Mushroom",3185,9
"The White Mushroom (Bag)","Edible Mushroom",2921,10
"Needle Mushroom (Bag) (3)","Edible Mushroom",2536,11
"The Agaricus Bisporus","Edible Mushroom",2481,12
"Haixian Mushroom (1)","Edible Mushroom",2205,13
"Haixian Mushroom (Bag) (4)","Edible Mushroom",2150,14
"Needle Mushroom (Bag) (1)","Edible Mushroom",1988,15
"Xixia Xianggu Mushroom (2)","Edible Mushroom",1881,16
"Jigu Mushroom (1)","Edible Mushroom",1824,17
"Haixian Mushroom (Bag) (3)","Edible Mushroom",1776,18
"Apricot Bao Mushroom (Bag)","Edible Mushroom",1340,19
"Haixian Mushroom (Bag)","Edible Mushroom",1305,20
"Haixian Mushroom (Bunch)","Edible Mushroom",1300,21
"Haixian Mushroom (Bag) (1)","Edible Mushroom",1256,22
"Needle Mushroom (2)","Edible Mushroom",1148,23
"Chinese Caterpillar Fungus Flowers (Bag)","Edible Mushroom",1109,24
"Jigu Mushroom (Bunch)","Edible Mushroom",1075,25
"Chinese Caterpillar Fungus Flowers (Bag)","Edible Mushroom",978,26
"Fresh Black Fungus (1)","Edible Mushroom",847,27
"Fresh Edible Fungus (Bag)","Edible Mushroom",741,28
"Haixian Mushroom (Bag) (2)","Edible Mushroom",709,29
"Jigu (Bag)","Edible Mushroom",684,30
"The Crab Flavor Mushroom (Bag)","Edible Mushroom",401,31
"Xixia Xianggu Mushroom (Bag)","Edible Mushroom",379,32
"Crab Flavor Mushroom And White Mushroom Mix (Box)","Edible Mushroom",371,33
"Chinese Caterpillar Fungus Flowers","Edible Mushroom",321,34
"Tremella (Flower)","Edible Mushroom",289,35
"The White Mushroom (2)","Edible Mushroom",251,36
"Fresh Sea (2)","Edible Mushroom",195,37
"The White Mushroom (Box)","Edible Mushroom",164,38
"Hfyg Haixian Mushroom (Bunch)","Edible Mushroom",109,39
"Apricot Bao Mushroom (Bag)","Edible Mushroom",102,40
"The Crab Flavor Mushroom (1)","Edible Mushroom",102,41
"The Crab Flavor Mushroom (2)","Edible Mushroom",95,42
"Tea Tree Mushroom (Bag)","Edible Mushroom",90,43
"Fresh Edible Fungus (2)","Edible Mushroom",86,44
"The Crab Flavor Mushroom (Box)","Edible Mushroom",81,45
"Jigu (2)","Edible Mushroom",75,46
"Xiuzhen Mushroom","Edible Mushroom",63,47
"Xixia Black Mushroom (2)","Edible Mushroom",44,48
"The Steak Mushrooms (Box)","Edible Mushroom",36,49
"Black Chicken  Mushroom","Edible Mushroom",35,50
"The Steak Mushrooms","Edible Mushroom",25,51
"The White Mushroom (1)","Edible Mushroom",22,52
"Mushroom And Leaf Mix (Bag)","Edible Mushroom",13,53
"Agaricus Bisporus (Bag)","Edible Mushroom",10,54
"Apricot Bao Mushroom (250 G)","Edible Mushroom",10,55
"The Fungus Mushroom Hot Pot Package (Bag)","Edible Mushroom",8,56
"Embroidered Aureus","Edible Mushroom",7,57
"Chicken Fir Bacteria","Edible Mushroom",7,58
"The Pork Stomach Mushroom (Box)","Edible Mushroom",7,59
"Chopped Red Pine","Edible Mushroom",6,60
"Chopped Red Pine (Box)","Edible Mushroom",5,61
"Black Porcini","Edible Mushroom",4,62
"Black Porcini (Box)","Edible Mushroom",4,63
"Black Chicken Fir Bacteria (Box)","Edible Mushroom",4,64
"Velvet Antler Mushroom (Box)","Edible Mushroom",3,65
"Black Mushroom (Bag)","Edible Mushroom",3,66
"Hericium ","Edible Mushroom",3,67
"Embroidered Aureus (Bag)","Edible Mushroom",2,68
"White Jelly Mushroom","Edible Mushroom",1,69
"Chinese Caterpillar Fungus Flowers (Box) (2)","Edible Mushroom",1,70
"Needle Mushroom (Bag)","Edible Mushroom",1,71
"Yunnan Shengcai",Flower/Leaf Vegetables,39887,1
"Yunnan Lettuces",Flower/Leaf Vegetables,23265,2
Shanghaiqing,Flower/Leaf Vegetables,16644,3
Zhuyecai,Flower/Leaf Vegetables,16186,4
"Chinese Cabbage",Flower/Leaf Vegetables,15178,5
"Huangbaicai (2)",Flower/Leaf Vegetables,14372,6
"Yunnan Lettuce (Bag)",Flower/Leaf Vegetables,14328,7
Spinach,Flower/Leaf Vegetables,14202,8
Naibaicai,Flower/Leaf Vegetables,13355,9
Hongshujian,Flower/Leaf Vegetables,13087,10
Amaranth,Flower/Leaf Vegetables,10299,11
Caixin,Flower/Leaf Vegetables,10234,12
"Garden Chrysanthemum",Flower/Leaf Vegetables,10128,13
Wawacai,Flower/Leaf Vegetables,8994,14
"Yunnan Leaf Lettuce (Bag)",Flower/Leaf Vegetables,8863,15
"Zhijiang Red Bolt",Flower/Leaf Vegetables,8732,16
"Niushou Youcai",Flower/Leaf Vegetables,8022,17
"Xiaoqingcai (1)",Flower/Leaf Vegetables,7910,18
"Cabbage Stem (Bag)",Flower/Leaf Vegetables,6925,19
"Powcan Mountain Chinese Cabbage ",Flower/Leaf Vegetables,6408,20
"Spinach (Bag)",Flower/Leaf Vegetables,6354,21
"Sweet Chinese Cabbage",Flower/Leaf Vegetables,5888,22
"Yellow Xincai (1)",Flower/Leaf Vegetables,4806,23
"Dongmenkou Xiaobaicai",Flower/Leaf Vegetables,4162,24
"Xiaoqingcai (Bag)",Flower/Leaf Vegetables,4058,25
"Chinese Cabbage",Flower/Leaf Vegetables,3970,26
Muercai,Flower/Leaf Vegetables,3868,27
"Huangxincai (2)",Flower/Leaf Vegetables,3393,28
"Shanghai Green (Bag)",Flower/Leaf Vegetables,3071,29
"Caidian Quinoa Artemisia",Flower/Leaf Vegetables,2479,30
"The Local Yellow Youcai",Flower/Leaf Vegetables,2341,31
"Niushou Shengcai",Flower/Leaf Vegetables,2087,32
"Caixin (Bag)",Flower/Leaf Vegetables,2053,33
"Foreign Garland Chrysanthemum ",Flower/Leaf Vegetables,1588,34
"Sichuan Red Cedar",Flower/Leaf Vegetables,1536,35
"Suizhou Bubble Green",Flower/Leaf Vegetables,1317,36
"White Caitai",Flower/Leaf Vegetables,1305,37
"Local Shanghaiqing",Flower/Leaf Vegetables,1252,38
"Zhuyecai (Bag)",Flower/Leaf Vegetables,1077,39
"Radish Leaves",Flower/Leaf Vegetables,820,40
"Hongshujian (Bag)",Flower/Leaf Vegetables,726,41
"Garden Chrysanthemum (Bag)",Flower/Leaf Vegetables,586,42
"Yuxingcao (Bag)",Flower/Leaf Vegetables,470,43
"Yellow Baicai (1)",Flower/Leaf Vegetables,445,44
"Amaranth (Bag)",Flower/Leaf Vegetables,425,45
Wandoujian,Flower/Leaf Vegetables,391,46
"Chinese Cabbage (Bag)",Flower/Leaf Vegetables,343,47
"Zhijiang Red Bolt (Bag)",Flower/Leaf Vegetables,313,48
Machixian,Flower/Leaf Vegetables,313,49
"Local Xiaomao Cabbage",Flower/Leaf Vegetables,306,50
"Xiaoqingcai (2)",Flower/Leaf Vegetables,296,51
Longyacai,Flower/Leaf Vegetables,263,52
Kuaicai,Flower/Leaf Vegetables,253,53
"Black Rapeseed",Flower/Leaf Vegetables,240,54
Perilla,Flower/Leaf Vegetables,234,55
"Panax Notoginseng",Flower/Leaf Vegetables,177,56
"Purple Beicai",Flower/Leaf Vegetables,153,57
"Foreign Garland Chrysanthemum  (Bag)",Flower/Leaf Vegetables,127,58
"Yuxingcao ",Flower/Leaf Vegetables,106,59
Mustard,Flower/Leaf Vegetables,104,60
Youcaitai,Flower/Leaf Vegetables,100,61
"Xianzongye (Bag) (3)",Flower/Leaf Vegetables,92,62
Mint,Flower/Leaf Vegetables,69,63
"Caidian Quinoa Artemisia (Bag)",Flower/Leaf Vegetables,65,64
Miantiaocai,Flower/Leaf Vegetables,63,65
"Green Caitai",Flower/Leaf Vegetables,61,66
"Ice Grass",Flower/Leaf Vegetables,48,67
"Fresh Rice Dumplings Leaves",Flower/Leaf Vegetables,44,68
Nanguajian,Flower/Leaf Vegetables,42,69
"Xiangtianhongcaitai (Bag)",Flower/Leaf Vegetables,41,70
"Naibai Caimiao",Flower/Leaf Vegetables,41,71
"Sophora Japonica",Flower/Leaf Vegetables,41,72
"Xianzongye (Bag) (1)",Flower/Leaf Vegetables,41,73
Chuncai,Flower/Leaf Vegetables,40,74
"Basil (Bag)",Flower/Leaf Vegetables,40,75
"Chinese Cabbage Seedling",Flower/Leaf Vegetables,39,76
Jicai,Flower/Leaf Vegetables,38,77
Siguajian,Flower/Leaf Vegetables,35,78
"The Dandelion",Flower/Leaf Vegetables,31,79
"Ice Grass (Box)",Flower/Leaf Vegetables,29,80
"Malan Head",Flower/Leaf Vegetables,28,81
Xianzongye,Flower/Leaf Vegetables,28,82
Aihao,Flower/Leaf Vegetables,27,83
"Muercai (Bag)",Flower/Leaf Vegetables,27,84
Zhimaxiancai,Flower/Leaf Vegetables,27,85
"Hongshan Caitai",Flower/Leaf Vegetables,25,86
"Juhua Youcai",Flower/Leaf Vegetables,21,87
"Artemisia Stelleriana",Flower/Leaf Vegetables,15,88
Huanghuacai,Flower/Leaf Vegetables,11,89
"Big Broccoli",Flower/Leaf Vegetables,10,90
"Xianzongye (Bag) (2)",Flower/Leaf Vegetables,8,91
"Red Coral (Leaf)",Flower/Leaf Vegetables,5,92
"Green Butter",Flower/Leaf Vegetables,5,93
"Shuanggou Cabbage",Flower/Leaf Vegetables,4,94
"Red Oak Leaf",Flower/Leaf Vegetables,3,95
"Hongshan Shoutidai",Flower/Leaf Vegetables,3,96
"Hongshan Gift Box",Flower/Leaf Vegetables,3,97
Ganlanye,Flower/Leaf Vegetables,2,98
Broccoli,Flower/Leaf Vegetables,1,99
"Eggplant (2)",Solanum,27455,1
"Green Eggplant (1)",Solanum,6002,2
Changxianqie,Solanum,5905,3
"Dalong Eggplant",Solanum,2409,4
"Round Eggplant (2)",Solanum,1773,5
"Eggplant (1)",Solanum,608,6
"Green Eggplant (2)",Solanum,527,7
"Hua Eggplant",Solanum,193,8
"Round Eggplant",Solanum,14,9
"Round Eggplant (1)",Solanum,12,10
