ProductName,ProductLossRate
"Luosi Pepper",10.18%
"Luosi Pepper (Bag)",9.43%
Machixian,11.78%
"Malan Head",15.16%
Miantiaocai,12.80%
"Millet Pepper (Bag)",9.43%
Mint,13.28%
"Muercai (Bag)",9.43%
"Mushroom And Leaf Mix (Bag)",9.43%
Mustard,13.75%
"Naibai Caimiao",10.94%
Naibaicai,15.68%
Nanguajian,13.46%
"Needle Mushroom (2)",9.43%
"Needle Mushroom (Bag)",9.43%
"Needle Mushroom (Bag) (3)",11.13%
"Net Lotus Root (2)",11.62%
"Net Lotus Root (3)",9.43%
"Niushou Youcai",12.17%
"Panax Notoginseng",16.95%
"Pepper Mix",9.43%
Perilla,12.88%
"Ping Mushroom",11.60%
"Powcan Mountain Chinese Cabbage ",9.43%
"Purple Beicai",19.58%
"Purple Cabbage (1)",25.53%
"Purple Cabbage (2)",9.43%
"Purple Hot Peppers",9.43%
Qinggengsanhua,17.06%
"Red Bell Pepper (2)",9.43%
"Red Bell Pepper (Bag)",9.43%
"Red Coral (Leaf)",9.43%
"Red Hang Pepper",9.99%
"Red Hang Pepper (Bag)",9.43%
"Red Hot Peppers (Bag)",9.43%
"Red Lotus Root Zone",16.63%
"Red Oak Leaf",9.43%
"Red Pepper (1)",11.76%
"Red Pepper (2)",9.43%
"Red Pepper (Bag)",9.43%
"Round Eggplant (1)",9.43%
"Shanghai Green (Bag)",9.43%
Shanghaiqing,14.43%
"Shuanggou Cabbage",10.75%
"Sichuan Red Cedar",10.46%
Siguajian,15.98%
"Sophora Japonica",16.80%
Spinach,18.51%
"Spinach (Bag)",9.43%
"Suizhou Bubble Green",12.20%
"Sweet Chinese Cabbage",9.43%
"Tea Tree Mushroom (Bag)",9.97%
"The Agaricus Bisporus",12.78%
"The Crab Flavor Mushroom (2)",16.04%
"The Crab Flavor Mushroom (Bag)",11.13%
"The Dandelion",15.92%
"The Fungus Mushroom Hot Pot Package (Bag)",9.43%
"The Steak Mushrooms (Box)",19.80%
"The White Mushroom (1)",9.43%
"Water Chestnut",11.02%
"Water Chestnut (Bag)",9.43%
"Water Chestnut (Lingjiao)",9.61%
"White Jelly Mushroom",11.13%
"Wild Lotus Root (2)",9.43%
"Wild Pink Lotus Root",12.69%
"Wuhu Green Pepper (Bag)",9.43%
"Xianzongye (Bag) (3)",9.43%
"Xiaoqingcai (1)",10.33%
"Xiaoqingcai (2)",9.43%
"Xiaoqingcai (Bag)",9.43%
"Xiaozhoupi (Bag)",9.43%
"Xiuzhen Mushroom",11.93%
"Xixia Black Mushroom (1)",10.80%
"Xixia Black Mushroom (2)",9.43%
"Xixia Mushroom (1)",13.82%
"Xixia Xianggu Mushroom (2)",9.43%
"Xixia Xianggu Mushroom (Bag)",9.43%
"Yellow Baicai (1)",9.43%
"Yellow Xincai (1)",10.64%
Youcaitai,10.94%
Yuganjiao,9.43%
"Yunnan Leaf Lettuce (Bag)",9.43%
"Yunnan Lettuce (Bag)",9.43%
"Yunnan Lettuces",12.81%
"Yunnan Shengcai",15.25%
"Yuxingcao ",9.43%
"Yuxingcao (Bag)",9.43%
"Zhijiang Qinggengsanhua",9.43%
"Zhijiang Red Bolt",11.38%
"Zhijiang Red Bolt (Bag)",9.43%
Zhuyecai,13.62%
"Zhuyecai (Bag)",9.43%
