ProductName,ProductTotalSales
Lameizi,¥1391.11
"Garden Chrysanthemum (Bag)",¥1360
"Bell Pepper (2)",¥1228.79
"Tremella (Flower)",¥1220.5
"Green Eggplant (2)",¥1201.17
"Xianzongye (Bag) (1)",¥1180
"Amaranth (Bag)",¥1171.2
"Yellow Baicai (1)",¥1169.1
"Chinese Caterpillar Fungus Flowers",¥1155.17
"Hua Eggplant",¥1149.01
"Green Hangzhou Pepper (2)",¥1142.42
Wandoujian,¥1134.08
"Red Lotus Root Zone",¥1073.33
"The White Mushroom (2)",¥1008.8
"Foreign Garland Chrysanthemum  (Bag)",¥952.4
Machixian,¥868.85
"Xianzongye (Bag) (3)",¥867
"Tea Tree Mushroom (Bag)",¥771
Kuaicai,¥753.45
"Wild Pink Lotus Root",¥734.56
"Fresh Sea (2)",¥734.28
"Zhijiang Red Bolt (Bag)",¥681.6
"Fruit Chili",¥629.48
"Panax Notoginseng",¥609.85
"Black Chicken  Mushroom",¥603.13
Perilla,¥583.93
"Local Xiaomao Cabbage",¥554.5
"The White Mushroom (Box)",¥486.3
"Xiaoqingcai (2)",¥454.6
"Purple Beicai",¥446.06
"Black Rapeseed",¥435.92
Yuganjiao,¥429.55
"Honghu Lotus (Lotus Root)",¥395.2
"The Crab Flavor Mushroom (2)",¥394.3
"Fresh Lotus Root Zone (Bag)",¥388.2
"Red Line Pepper",¥382.65
Youcaitai,¥380.88
"The Crab Flavor Mushroom (1)",¥379.9
"Net Lotus Root (2)",¥371.03
Mustard,¥370.36
"Fresh Edible Fungus (2)",¥357.73
"Yuxingcao ",¥332.95
"Red Pepper (Bag)",¥317.9
"Apricot Bao Mushroom (Bag)",¥311.4
Siguajian,¥286.49
"The Steak Mushrooms (Box)",¥280.8
"Ice Grass (Box)",¥255.4
"Green And Red Jian Pepper Mix (Bag)",¥249.3
"Hfyg Haixian Mushroom (Bunch)",¥244
"Jigu (2)",¥243.62
"Caidian Quinoa Artemisia (Bag)",¥232.9
"The Crab Flavor Mushroom (Box)",¥232.2
"Ice Grass",¥229.82
"Xiuzhen Mushroom",¥223.83
"The Steak Mushrooms",¥187.4
Chuncai,¥183.71
"Purple Cabbage (1)",¥180.25
"Xixia Black Mushroom (2)",¥178.07
"Sophora Japonica",¥174.07
"Naibai Caimiao",¥168.29
"Malan Head",¥161.27
"Xiangtianhongcaitai (Bag)",¥152.7
Nanguajian,¥151.59
"Basil (Bag)",¥148.9
"Wild Lotus Root (2)",¥148.17
Mint,¥133.5
Huanghuacai,¥127.61
"The Dandelion",¥123.92
"Fresh Rice Dumplings Leaves",¥122.03
"Purple Screw Pepper",¥119.59
Miantiaocai,¥117.9
"Chinese Cabbage Seedling",¥116.56
Xianzongye,¥114.27
"The White Mushroom (1)",¥107.8
"Hongshan Caitai",¥99
"Muercai (Bag)",¥96.9
"Round Eggplant",¥94.53
"Chicken Fir Bacteria",¥92.1
Jicai,¥92.09
"7 Colour Pepper (Bag)",¥91
"Green Caitai",¥90.82
"The Fungus Mushroom Hot Pot Package (Bag)",¥90.1
"Embroidered Aureus",¥89.9
"Mushroom And Leaf Mix (Bag)",¥86.7
"Juhua Youcai",¥84.72
"Chopped Red Pine (Box)",¥84
"Black Porcini",¥81.14
"Agaricus Bisporus (Bag)",¥79.8
"The Pork Stomach Mushroom (Box)",¥79.4
"Black Porcini (Box)",¥79.2
"Lotus Root Tip",¥74.46
"Black Chicken Fir Bacteria (Box)",¥69.3
"Chopped Red Pine",¥61.61
"Water Chestnut (Bag)",¥59
Zhimaxiancai,¥56.29
"Artemisia Stelleriana",¥54.73
"Apricot Bao Mushroom (250 G)",¥49
"Hongshan Gift Box",¥48.8
"Red Bell Pepper (Bag)",¥47.3
"Hongshan Shoutidai",¥44.5
Aihao,¥43.32
"Xianzongye (Bag) (2)",¥39.2
"Green Hangjiao (1)",¥33.12
"Purple Hot Peppers",¥28.06
"Big Broccoli",¥27.42
"Round Eggplant (1)",¥25.9
"Embroidered Aureus (Bag)",¥25.6
"Hericium ",¥24.5
"Green Butter",¥22.83
"Black Mushroom (Bag)",¥18.7
"Shuanggou Cabbage",¥17.32
"Bell Pepper (Bag)",¥16.5
"Velvet Antler Mushroom (Box)",¥14.7
"Red Coral (Leaf)",¥13.5
"Chinese Caterpillar Fungus Flowers (Box) (2)",¥12.9
Ganlanye,¥11.32
"Fruit Pepper (Orange)",¥10.71
"Purple Cabbage (2)",¥9.02
"Red Oak Leaf",¥8.3
Broccoli,¥6.71
"White Jelly Mushroom",¥4.9
"Needle Mushroom (Bag)",¥3.5
