ProductsCategory,Date,TotalSales,PreviousTotalSales,SalesGrowthPercentage
"Aquatic Tuberous Vegetables",2020-08-08,¥335.91,¥312.62,7.45%
"Aquatic Tuberous Vegetables",2020-08-09,¥289.35,¥335.91,-13.86%
"Aquatic Tuberous Vegetables",2020-08-10,¥342.85,¥289.35,18.49%
"Aquatic Tuberous Vegetables",2020-08-11,¥248.33,¥342.85,-27.57%
"Aquatic Tuberous Vegetables",2020-08-12,¥311.95,¥248.33,25.62%
"Aquatic Tuberous Vegetables",2020-08-13,¥234.16,¥311.95,-24.94%
"Aquatic Tuberous Vegetables",2020-08-14,¥253.3,¥234.16,8.17%
"Aquatic Tuberous Vegetables",2020-08-15,¥272.67,¥253.3,7.65%
"Aquatic Tuberous Vegetables",2020-08-16,¥244.6,¥272.67,-10.29%
"Aquatic Tuberous Vegetables",2020-08-17,¥172.62,¥244.6,-29.43%
"Aquatic Tuberous Vegetables",2020-08-18,¥208.04,¥172.62,20.52%
"Aquatic Tuberous Vegetables",2020-08-19,¥188.24,¥208.04,-9.52%
"Aquatic Tuberous Vegetables",2020-08-20,¥223.09,¥188.24,18.51%
"Aquatic Tuberous Vegetables",2020-08-21,¥251.57,¥223.09,12.77%
"Aquatic Tuberous Vegetables",2020-08-22,¥282.67,¥251.57,12.36%
"Aquatic Tuberous Vegetables",2020-08-23,¥309.38,¥282.67,9.45%
"Aquatic Tuberous Vegetables",2020-08-24,¥201.2,¥309.38,-34.97%
"Aquatic Tuberous Vegetables",2020-08-25,¥213.3,¥201.2,6.01%
"Aquatic Tuberous Vegetables",2020-08-26,¥196,¥213.3,-8.11%
"Aquatic Tuberous Vegetables",2020-08-27,¥240.08,¥196,22.49%
"Aquatic Tuberous Vegetables",2020-08-28,¥258.92,¥240.08,7.85%
"Aquatic Tuberous Vegetables",2020-08-29,¥544.47,¥258.92,110.28%
"Aquatic Tuberous Vegetables",2020-08-30,¥286.33,¥544.47,-47.41%
"Aquatic Tuberous Vegetables",2020-08-31,¥449.97,¥286.33,57.15%
"Aquatic Tuberous Vegetables",2020-09-01,¥411.35,¥449.97,-8.58%
"Aquatic Tuberous Vegetables",2020-09-02,¥154.65,¥411.35,-62.4%
"Aquatic Tuberous Vegetables",2020-09-03,¥133.14,¥154.65,-13.91%
"Aquatic Tuberous Vegetables",2020-09-04,¥146.94,¥133.14,10.36%
"Aquatic Tuberous Vegetables",2020-09-05,¥331.09,¥146.94,125.33%
"Aquatic Tuberous Vegetables",2020-09-06,¥357.96,¥331.09,8.12%
"Aquatic Tuberous Vegetables",2020-09-07,¥299.61,¥357.96,-16.3%
"Aquatic Tuberous Vegetables",2020-09-08,¥153.02,¥299.61,-48.93%
"Aquatic Tuberous Vegetables",2020-09-09,¥102.44,¥153.02,-33.06%
"Aquatic Tuberous Vegetables",2020-09-10,¥120.62,¥102.44,17.75%
"Aquatic Tuberous Vegetables",2020-09-11,¥110.78,¥120.62,-8.16%
"Aquatic Tuberous Vegetables",2020-09-12,¥135.66,¥110.78,22.46%
"Aquatic Tuberous Vegetables",2020-09-13,¥159.27,¥135.66,17.41%
"Aquatic Tuberous Vegetables",2020-09-14,¥145.75,¥159.27,-8.49%
"Aquatic Tuberous Vegetables",2020-09-15,¥182.98,¥145.75,25.54%
"Aquatic Tuberous Vegetables",2020-09-16,¥138.92,¥182.98,-24.08%
"Aquatic Tuberous Vegetables",2020-09-17,¥122.06,¥138.92,-12.14%
"Aquatic Tuberous Vegetables",2020-09-18,¥88.54,¥122.06,-27.46%
"Aquatic Tuberous Vegetables",2020-09-19,¥322.02,¥88.54,263.71%
"Aquatic Tuberous Vegetables",2020-09-20,¥323.61,¥322.02,0.5%
"Aquatic Tuberous Vegetables",2020-09-21,¥130.31,¥323.61,-59.73%
"Aquatic Tuberous Vegetables",2020-09-22,¥310.67,¥130.31,138.4%
"Aquatic Tuberous Vegetables",2020-09-23,¥157.11,¥310.67,-49.43%
"Aquatic Tuberous Vegetables",2020-09-24,¥409.3,¥157.11,160.52%
"Aquatic Tuberous Vegetables",2020-09-25,¥196.19,¥409.3,-52.07%
"Aquatic Tuberous Vegetables",2020-09-26,¥543.38,¥196.19,176.97%
"Aquatic Tuberous Vegetables",2020-09-27,¥233.35,¥543.38,-57.06%
"Aquatic Tuberous Vegetables",2020-09-28,¥100.26,¥233.35,-57.04%
"Aquatic Tuberous Vegetables",2020-09-29,¥197.89,¥100.26,97.38%
"Aquatic Tuberous Vegetables",2020-09-30,¥301.97,¥197.89,52.6%
"Aquatic Tuberous Vegetables",2020-10-01,¥450.03,¥301.97,49.03%
"Aquatic Tuberous Vegetables",2020-10-02,¥189.63,¥450.03,-57.86%
"Aquatic Tuberous Vegetables",2020-10-03,¥153.09,¥189.63,-19.27%
"Aquatic Tuberous Vegetables",2020-10-04,¥157.41,¥153.09,2.82%
"Aquatic Tuberous Vegetables",2020-10-05,¥650.34,¥157.41,313.15%
"Aquatic Tuberous Vegetables",2020-10-06,¥208.44,¥650.34,-67.95%
"Aquatic Tuberous Vegetables",2020-10-07,¥424.59,¥208.44,103.69%
"Aquatic Tuberous Vegetables",2020-10-08,¥261.16,¥424.59,-38.49%
"Aquatic Tuberous Vegetables",2020-10-09,¥395.63,¥261.16,51.49%
"Aquatic Tuberous Vegetables",2020-10-10,¥177.63,¥395.63,-55.1%
"Aquatic Tuberous Vegetables",2020-10-11,¥460.39,¥177.63,159.19%
"Aquatic Tuberous Vegetables",2020-10-12,¥297.28,¥460.39,-35.43%
"Aquatic Tuberous Vegetables",2020-10-13,¥400.03,¥297.28,34.56%
"Aquatic Tuberous Vegetables",2020-10-14,¥369.66,¥400.03,-7.59%
"Aquatic Tuberous Vegetables",2020-10-15,¥323.68,¥369.66,-12.44%
"Aquatic Tuberous Vegetables",2020-10-16,¥459.41,¥323.68,41.93%
"Aquatic Tuberous Vegetables",2020-10-17,¥692.18,¥459.41,50.67%
"Aquatic Tuberous Vegetables",2020-10-18,¥626.04,¥692.18,-9.55%
"Aquatic Tuberous Vegetables",2020-10-19,¥322.36,¥626.04,-48.51%
"Aquatic Tuberous Vegetables",2020-10-20,¥389.45,¥322.36,20.81%
"Aquatic Tuberous Vegetables",2020-10-21,¥162.75,¥389.45,-58.21%
"Aquatic Tuberous Vegetables",2020-10-22,¥272.92,¥162.75,67.69%
"Aquatic Tuberous Vegetables",2020-10-23,¥245.64,¥272.92,-10%
"Aquatic Tuberous Vegetables",2020-10-24,¥529.1,¥245.64,115.4%
"Aquatic Tuberous Vegetables",2020-10-25,¥553.12,¥529.1,4.54%
"Aquatic Tuberous Vegetables",2020-10-26,¥165.33,¥553.12,-70.11%
"Aquatic Tuberous Vegetables",2020-10-27,¥169.15,¥165.33,2.31%
"Aquatic Tuberous Vegetables",2020-10-28,¥223.76,¥169.15,32.29%
"Aquatic Tuberous Vegetables",2020-10-29,¥126.62,¥223.76,-43.41%
"Aquatic Tuberous Vegetables",2020-10-30,¥146.67,¥126.62,15.83%
"Aquatic Tuberous Vegetables",2020-10-31,¥622.72,¥146.67,324.56%
"Aquatic Tuberous Vegetables",2020-11-01,¥537.74,¥622.72,-13.65%
"Aquatic Tuberous Vegetables",2020-11-02,¥120.42,¥537.74,-77.61%
"Aquatic Tuberous Vegetables",2020-11-03,¥122.84,¥120.42,2%
"Aquatic Tuberous Vegetables",2020-11-04,¥145.46,¥122.84,18.42%
"Aquatic Tuberous Vegetables",2020-11-05,¥66.78,¥145.46,-54.09%
"Aquatic Tuberous Vegetables",2020-11-06,¥103.8,¥66.78,55.44%
"Aquatic Tuberous Vegetables",2020-11-07,¥549.49,¥103.8,429.39%
"Aquatic Tuberous Vegetables",2020-11-08,¥460.41,¥549.49,-16.21%
"Aquatic Tuberous Vegetables",2020-11-09,¥114.29,¥460.41,-75.18%
"Aquatic Tuberous Vegetables",2020-11-10,¥92.44,¥114.29,-19.11%
"Aquatic Tuberous Vegetables",2020-11-11,¥153.45,¥92.44,65.99%
"Aquatic Tuberous Vegetables",2020-11-12,¥132.81,¥153.45,-13.45%
"Aquatic Tuberous Vegetables",2020-11-13,¥114.39,¥132.81,-13.86%
"Aquatic Tuberous Vegetables",2020-11-14,¥400.47,¥114.39,250.08%
"Aquatic Tuberous Vegetables",2020-11-15,¥311.35,¥400.47,-22.25%
"Aquatic Tuberous Vegetables",2020-11-16,¥114.7,¥311.35,-63.16%
"Aquatic Tuberous Vegetables",2020-11-17,¥189.8,¥114.7,65.48%
"Aquatic Tuberous Vegetables",2020-11-18,¥148.32,¥189.8,-21.86%
"Aquatic Tuberous Vegetables",2020-11-19,¥199.49,¥148.32,34.5%
"Aquatic Tuberous Vegetables",2020-11-20,¥183.08,¥199.49,-8.23%
"Aquatic Tuberous Vegetables",2020-11-21,¥779.87,¥183.08,325.98%
"Aquatic Tuberous Vegetables",2020-11-22,¥540.3,¥779.87,-30.72%
"Aquatic Tuberous Vegetables",2020-11-23,¥279.9,¥540.3,-48.2%
"Aquatic Tuberous Vegetables",2020-11-24,¥349.21,¥279.9,24.76%
"Aquatic Tuberous Vegetables",2020-11-25,¥295.8,¥349.21,-15.3%
"Aquatic Tuberous Vegetables",2020-11-26,¥192.79,¥295.8,-34.82%
"Aquatic Tuberous Vegetables",2020-11-27,¥179.27,¥192.79,-7.01%
"Aquatic Tuberous Vegetables",2020-11-28,¥242.31,¥179.27,35.17%
"Aquatic Tuberous Vegetables",2020-11-29,¥251.95,¥242.31,3.98%
"Aquatic Tuberous Vegetables",2020-11-30,¥143.1,¥251.95,-43.21%
"Aquatic Tuberous Vegetables",2020-12-01,¥200.23,¥143.1,39.93%
"Aquatic Tuberous Vegetables",2020-12-02,¥182.66,¥200.23,-8.77%
"Aquatic Tuberous Vegetables",2020-12-03,¥273.12,¥182.66,49.52%
"Aquatic Tuberous Vegetables",2020-12-04,¥551.38,¥273.12,101.89%
"Aquatic Tuberous Vegetables",2020-12-05,¥314.5,¥551.38,-42.96%
"Aquatic Tuberous Vegetables",2020-12-06,¥653.52,¥314.5,107.8%
"Aquatic Tuberous Vegetables",2020-12-07,¥419.31,¥653.52,-35.84%
"Aquatic Tuberous Vegetables",2020-12-08,¥537.73,¥419.31,28.24%
"Aquatic Tuberous Vegetables",2020-12-09,¥289.12,¥537.73,-46.23%
"Aquatic Tuberous Vegetables",2020-12-10,¥324.03,¥289.12,12.07%
"Aquatic Tuberous Vegetables",2020-12-11,¥372.47,¥324.03,14.95%
"Aquatic Tuberous Vegetables",2020-12-12,¥580.76,¥372.47,55.92%
"Aquatic Tuberous Vegetables",2020-12-13,¥625.45,¥580.76,7.69%
"Aquatic Tuberous Vegetables",2020-12-14,¥424.73,¥625.45,-32.09%
"Aquatic Tuberous Vegetables",2020-12-15,¥415.43,¥424.73,-2.19%
"Aquatic Tuberous Vegetables",2020-12-16,¥379.88,¥415.43,-8.56%
"Aquatic Tuberous Vegetables",2020-12-17,¥371.22,¥379.88,-2.28%
"Aquatic Tuberous Vegetables",2020-12-18,¥523.14,¥371.22,40.92%
"Aquatic Tuberous Vegetables",2020-12-19,¥790.14,¥523.14,51.04%
"Aquatic Tuberous Vegetables",2020-12-20,¥687.19,¥790.14,-13.03%
"Aquatic Tuberous Vegetables",2020-12-21,¥403.65,¥687.19,-41.26%
"Aquatic Tuberous Vegetables",2020-12-22,¥320.18,¥403.65,-20.68%
"Aquatic Tuberous Vegetables",2020-12-23,¥340.33,¥320.18,6.29%
"Aquatic Tuberous Vegetables",2020-12-24,¥481.15,¥340.33,41.38%
"Aquatic Tuberous Vegetables",2020-12-25,¥547.55,¥481.15,13.8%
"Aquatic Tuberous Vegetables",2020-12-26,¥876.73,¥547.55,60.12%
"Aquatic Tuberous Vegetables",2020-12-27,¥761.98,¥876.73,-13.09%
"Aquatic Tuberous Vegetables",2020-12-28,¥515.29,¥761.98,-32.37%
"Aquatic Tuberous Vegetables",2020-12-29,¥435.61,¥515.29,-15.46%
"Aquatic Tuberous Vegetables",2020-12-30,¥624.3,¥435.61,43.32%
"Aquatic Tuberous Vegetables",2020-12-31,¥533.66,¥624.3,-14.52%
"Aquatic Tuberous Vegetables",2021-01-01,¥628.01,¥533.66,17.68%
"Aquatic Tuberous Vegetables",2021-01-02,¥760.11,¥628.01,21.04%
"Aquatic Tuberous Vegetables",2021-01-03,¥537.53,¥760.11,-29.28%
"Aquatic Tuberous Vegetables",2021-01-04,¥617.94,¥537.53,14.96%
"Aquatic Tuberous Vegetables",2021-01-05,¥777.99,¥617.94,25.9%
"Aquatic Tuberous Vegetables",2021-01-06,¥436.28,¥777.99,-43.92%
"Aquatic Tuberous Vegetables",2021-01-07,¥502.22,¥436.28,15.12%
"Aquatic Tuberous Vegetables",2021-01-08,¥455.23,¥502.22,-9.36%
"Aquatic Tuberous Vegetables",2021-01-09,¥810.58,¥455.23,78.06%
"Aquatic Tuberous Vegetables",2021-01-10,¥727.42,¥810.58,-10.26%
"Aquatic Tuberous Vegetables",2021-01-11,¥407.99,¥727.42,-43.91%
"Aquatic Tuberous Vegetables",2021-01-12,¥526.5,¥407.99,29.05%
"Aquatic Tuberous Vegetables",2021-01-13,¥395.36,¥526.5,-24.91%
"Aquatic Tuberous Vegetables",2021-01-14,¥400.16,¥395.36,1.22%
"Aquatic Tuberous Vegetables",2021-01-15,¥466.59,¥400.16,16.6%
"Aquatic Tuberous Vegetables",2021-01-16,¥755.8,¥466.59,61.98%
"Aquatic Tuberous Vegetables",2021-01-17,¥660.16,¥755.8,-12.65%
"Aquatic Tuberous Vegetables",2021-01-18,¥458.3,¥660.16,-30.58%
"Aquatic Tuberous Vegetables",2021-01-19,¥403.18,¥458.3,-12.03%
"Aquatic Tuberous Vegetables",2021-01-20,¥431.9,¥403.18,7.12%
"Aquatic Tuberous Vegetables",2021-01-21,¥463.75,¥431.9,7.37%
"Aquatic Tuberous Vegetables",2021-01-22,¥466.81,¥463.75,0.66%
"Aquatic Tuberous Vegetables",2021-01-23,¥659.24,¥466.81,41.22%
"Aquatic Tuberous Vegetables",2021-01-24,¥864.74,¥659.24,31.17%
"Aquatic Tuberous Vegetables",2021-01-25,¥853.79,¥864.74,-1.27%
"Aquatic Tuberous Vegetables",2021-01-26,¥567.56,¥853.79,-33.52%
"Aquatic Tuberous Vegetables",2021-01-27,¥491.68,¥567.56,-13.37%
"Aquatic Tuberous Vegetables",2021-01-28,¥578.5,¥491.68,17.66%
"Aquatic Tuberous Vegetables",2021-01-29,¥465.07,¥578.5,-19.61%
"Aquatic Tuberous Vegetables",2021-01-30,¥390.79,¥465.07,-15.97%
"Aquatic Tuberous Vegetables",2021-01-31,¥455.3,¥390.79,16.51%
"Aquatic Tuberous Vegetables",2021-02-01,¥467.5,¥455.3,2.68%
"Aquatic Tuberous Vegetables",2021-02-02,¥427.89,¥467.5,-8.47%
"Aquatic Tuberous Vegetables",2021-02-03,¥326.48,¥427.89,-23.7%
"Aquatic Tuberous Vegetables",2021-02-04,¥550.88,¥326.48,68.73%
"Aquatic Tuberous Vegetables",2021-02-05,¥545.34,¥550.88,-1.01%
"Aquatic Tuberous Vegetables",2021-02-06,¥552.27,¥545.34,1.27%
"Aquatic Tuberous Vegetables",2021-02-07,¥1108.6,¥552.27,100.74%
"Aquatic Tuberous Vegetables",2021-02-08,¥1386.66,¥1108.6,25.08%
"Aquatic Tuberous Vegetables",2021-02-09,¥2786.78,¥1386.66,100.97%
"Aquatic Tuberous Vegetables",2021-02-10,¥4272.25,¥2786.78,53.3%
"Aquatic Tuberous Vegetables",2021-02-13,¥645,¥4272.25,-84.9%
"Aquatic Tuberous Vegetables",2021-02-14,¥927.06,¥645,43.73%
"Aquatic Tuberous Vegetables",2021-02-15,¥948.22,¥927.06,2.28%
"Aquatic Tuberous Vegetables",2021-02-16,¥949.47,¥948.22,0.13%
"Aquatic Tuberous Vegetables",2021-02-17,¥643.58,¥949.47,-32.22%
"Aquatic Tuberous Vegetables",2021-02-18,¥747.92,¥643.58,16.21%
"Aquatic Tuberous Vegetables",2021-02-19,¥693.03,¥747.92,-7.34%
"Aquatic Tuberous Vegetables",2021-02-20,¥726.5,¥693.03,4.83%
"Aquatic Tuberous Vegetables",2021-02-21,¥465.3,¥726.5,-35.95%
"Aquatic Tuberous Vegetables",2021-02-22,¥418.94,¥465.3,-9.96%
"Aquatic Tuberous Vegetables",2021-02-23,¥507.54,¥418.94,21.15%
"Aquatic Tuberous Vegetables",2021-02-24,¥587.32,¥507.54,15.72%
"Aquatic Tuberous Vegetables",2021-02-25,¥856.68,¥587.32,45.86%
"Aquatic Tuberous Vegetables",2021-02-26,¥829.48,¥856.68,-3.18%
"Aquatic Tuberous Vegetables",2021-02-27,¥494.21,¥829.48,-40.42%
"Aquatic Tuberous Vegetables",2021-02-28,¥495.15,¥494.21,0.19%
"Aquatic Tuberous Vegetables",2021-03-01,¥289.98,¥495.15,-41.44%
"Aquatic Tuberous Vegetables",2021-03-02,¥461.56,¥289.98,59.17%
"Aquatic Tuberous Vegetables",2021-03-03,¥206.27,¥461.56,-55.31%
"Aquatic Tuberous Vegetables",2021-03-04,¥280.77,¥206.27,36.12%
"Aquatic Tuberous Vegetables",2021-03-05,¥349.68,¥280.77,24.54%
"Aquatic Tuberous Vegetables",2021-03-06,¥613.85,¥349.68,75.55%
"Aquatic Tuberous Vegetables",2021-03-07,¥367.89,¥613.85,-40.07%
"Aquatic Tuberous Vegetables",2021-03-08,¥268.91,¥367.89,-26.9%
"Aquatic Tuberous Vegetables",2021-03-09,¥389.86,¥268.91,44.98%
"Aquatic Tuberous Vegetables",2021-03-10,¥199.13,¥389.86,-48.92%
"Aquatic Tuberous Vegetables",2021-03-11,¥288.34,¥199.13,44.8%
"Aquatic Tuberous Vegetables",2021-03-12,¥183.91,¥288.34,-36.22%
"Aquatic Tuberous Vegetables",2021-03-13,¥517.26,¥183.91,181.25%
"Aquatic Tuberous Vegetables",2021-03-14,¥329.05,¥517.26,-36.39%
"Aquatic Tuberous Vegetables",2021-03-15,¥240.47,¥329.05,-26.92%
"Aquatic Tuberous Vegetables",2021-03-16,¥209.32,¥240.47,-12.95%
"Aquatic Tuberous Vegetables",2021-03-17,¥214.23,¥209.32,2.35%
"Aquatic Tuberous Vegetables",2021-03-18,¥223.02,¥214.23,4.1%
"Aquatic Tuberous Vegetables",2021-03-19,¥439.32,¥223.02,96.99%
"Aquatic Tuberous Vegetables",2021-03-20,¥458.16,¥439.32,4.29%
"Aquatic Tuberous Vegetables",2021-03-21,¥455.18,¥458.16,-0.65%
"Aquatic Tuberous Vegetables",2021-03-22,¥113.97,¥455.18,-74.96%
"Aquatic Tuberous Vegetables",2021-03-23,¥144.41,¥113.97,26.7%
"Aquatic Tuberous Vegetables",2021-03-24,¥151.25,¥144.41,4.74%
"Aquatic Tuberous Vegetables",2021-03-25,¥172.67,¥151.25,14.16%
"Aquatic Tuberous Vegetables",2021-03-26,¥442.7,¥172.67,156.39%
"Aquatic Tuberous Vegetables",2021-03-27,¥489.5,¥442.7,10.57%
"Aquatic Tuberous Vegetables",2021-03-28,¥326.12,¥489.5,-33.38%
"Aquatic Tuberous Vegetables",2021-03-29,¥174.4,¥326.12,-46.52%
"Aquatic Tuberous Vegetables",2021-03-30,¥167.59,¥174.4,-3.9%
"Aquatic Tuberous Vegetables",2021-03-31,¥233.87,¥167.59,39.54%
"Aquatic Tuberous Vegetables",2021-04-01,¥263.76,¥233.87,12.78%
"Aquatic Tuberous Vegetables",2021-04-02,¥452.09,¥263.76,71.4%
"Aquatic Tuberous Vegetables",2021-04-03,¥387.24,¥452.09,-14.35%
"Aquatic Tuberous Vegetables",2021-04-04,¥339.33,¥387.24,-12.37%
"Aquatic Tuberous Vegetables",2021-04-05,¥207.2,¥339.33,-38.94%
"Aquatic Tuberous Vegetables",2021-04-06,¥36.88,¥207.2,-82.2%
"Aquatic Tuberous Vegetables",2021-04-07,¥179.99,¥36.88,388.04%
"Aquatic Tuberous Vegetables",2021-04-08,¥104.73,¥179.99,-41.81%
"Aquatic Tuberous Vegetables",2021-04-09,¥316.45,¥104.73,202.16%
"Aquatic Tuberous Vegetables",2021-04-10,¥261.9,¥316.45,-17.24%
"Aquatic Tuberous Vegetables",2021-04-11,¥258.36,¥261.9,-1.35%
"Aquatic Tuberous Vegetables",2021-04-12,¥46.27,¥258.36,-82.09%
"Aquatic Tuberous Vegetables",2021-04-13,¥57.6,¥46.27,24.49%
"Aquatic Tuberous Vegetables",2021-04-14,¥214.16,¥57.6,271.81%
"Aquatic Tuberous Vegetables",2021-04-15,¥187.47,¥214.16,-12.46%
"Aquatic Tuberous Vegetables",2021-04-16,¥213.45,¥187.47,13.86%
"Aquatic Tuberous Vegetables",2021-04-17,¥410.04,¥213.45,92.1%
"Aquatic Tuberous Vegetables",2021-04-18,¥253.66,¥410.04,-38.14%
"Aquatic Tuberous Vegetables",2021-04-19,¥143.09,¥253.66,-43.59%
"Aquatic Tuberous Vegetables",2021-04-20,¥126.24,¥143.09,-11.77%
"Aquatic Tuberous Vegetables",2021-04-21,¥132.78,¥126.24,5.18%
"Aquatic Tuberous Vegetables",2021-04-22,¥119.06,¥132.78,-10.34%
"Aquatic Tuberous Vegetables",2021-04-23,¥104.13,¥119.06,-12.54%
"Aquatic Tuberous Vegetables",2021-04-24,¥171.78,¥104.13,64.97%
"Aquatic Tuberous Vegetables",2021-04-25,¥114.54,¥171.78,-33.32%
"Aquatic Tuberous Vegetables",2021-04-26,¥122.95,¥114.54,7.34%
"Aquatic Tuberous Vegetables",2021-04-27,¥91.9,¥122.95,-25.25%
"Aquatic Tuberous Vegetables",2021-04-28,¥76.34,¥91.9,-16.93%
"Aquatic Tuberous Vegetables",2021-04-29,¥92.69,¥76.34,21.41%
"Aquatic Tuberous Vegetables",2021-04-30,¥152.62,¥92.69,64.66%
"Aquatic Tuberous Vegetables",2021-05-01,¥183.17,¥152.62,20.02%
"Aquatic Tuberous Vegetables",2021-05-02,¥178.26,¥183.17,-2.68%
"Aquatic Tuberous Vegetables",2021-05-03,¥189.58,¥178.26,6.35%
"Aquatic Tuberous Vegetables",2021-05-04,¥90.28,¥189.58,-52.38%
"Aquatic Tuberous Vegetables",2021-05-05,¥159.05,¥90.28,76.18%
"Aquatic Tuberous Vegetables",2021-05-06,¥62.33,¥159.05,-60.81%
"Aquatic Tuberous Vegetables",2021-05-07,¥68.43,¥62.33,9.8%
"Aquatic Tuberous Vegetables",2021-05-08,¥119.76,¥68.43,75.01%
"Aquatic Tuberous Vegetables",2021-05-09,¥286.11,¥119.76,138.89%
"Aquatic Tuberous Vegetables",2021-05-10,¥113.41,¥286.11,-60.36%
"Aquatic Tuberous Vegetables",2021-05-11,¥119.33,¥113.41,5.22%
"Aquatic Tuberous Vegetables",2021-05-12,¥70.71,¥119.33,-40.74%
"Aquatic Tuberous Vegetables",2021-05-13,¥179.19,¥70.71,153.42%
"Aquatic Tuberous Vegetables",2021-05-14,¥124.02,¥179.19,-30.79%
"Aquatic Tuberous Vegetables",2021-05-15,¥123.99,¥124.02,-0.02%
"Aquatic Tuberous Vegetables",2021-05-16,¥63.86,¥123.99,-48.5%
"Aquatic Tuberous Vegetables",2021-05-17,¥50.11,¥63.86,-21.53%
"Aquatic Tuberous Vegetables",2021-05-18,¥123.09,¥50.11,145.64%
"Aquatic Tuberous Vegetables",2021-05-19,¥121.99,¥123.09,-0.89%
"Aquatic Tuberous Vegetables",2021-05-20,¥89.75,¥121.99,-26.43%
"Aquatic Tuberous Vegetables",2021-05-21,¥41.78,¥89.75,-53.45%
"Aquatic Tuberous Vegetables",2021-05-22,¥91.8,¥41.78,119.72%
"Aquatic Tuberous Vegetables",2021-05-23,¥202.29,¥91.8,120.36%
"Aquatic Tuberous Vegetables",2021-05-24,¥42.8,¥202.29,-78.84%
"Aquatic Tuberous Vegetables",2021-05-25,¥54.12,¥42.8,26.45%
"Aquatic Tuberous Vegetables",2021-05-26,¥40.08,¥54.12,-25.94%
"Aquatic Tuberous Vegetables",2021-05-27,¥83.19,¥40.08,107.56%
"Aquatic Tuberous Vegetables",2021-05-28,¥62.05,¥83.19,-25.41%
"Aquatic Tuberous Vegetables",2021-05-29,¥95.7,¥62.05,54.23%
"Aquatic Tuberous Vegetables",2021-05-30,¥47.19,¥95.7,-50.69%
"Aquatic Tuberous Vegetables",2021-05-31,¥54.04,¥47.19,14.52%
"Aquatic Tuberous Vegetables",2021-06-01,¥72.17,¥54.04,33.55%
"Aquatic Tuberous Vegetables",2021-06-02,¥86.81,¥72.17,20.29%
