ProductName,CategoryName
"Water Chestnut (Bag)","Aquatic Tuberous Vegetables"
"Water Chestnut (Lingjiao)","Aquatic Tuberous Vegetables"
Wawacai,Flower/Leaf Vegetables
"White Caitai",Flower/Leaf Vegetables
"White Jelly Mushroom","Edible Mushroom"
"Wild Lotus Root (1)","Aquatic Tuberous Vegetables"
"Wild Lotus Root (2)","Aquatic Tuberous Vegetables"
"Wild Pink Lotus Root","Aquatic Tuberous Vegetables"
"Wuhu Green Pepper (1)",Capsicum
"Wuhu Green Pepper (2)",Capsicum
"Wuhu Green Pepper (Bag)",Capsicum
"Xiangtianhongcaitai (Bag)",Flower/Leaf Vegetables
Xianzongye,Flower/Leaf Vegetables
"Xianzongye (Bag) (1)",Flower/Leaf Vegetables
"Xianzongye (Bag) (2)",Flower/Leaf Vegetables
"Xianzongye (Bag) (3)",Flower/Leaf Vegetables
"Xiaoqingcai (1)",Flower/Leaf Vegetables
"Xiaoqingcai (2)",Flower/Leaf Vegetables
"Xiaoqingcai (Bag)",Flower/Leaf Vegetables
Xiaozhoupi,Capsicum
"Xiaozhoupi (Bag)",Capsicum
"Xiuzhen Mushroom","Edible Mushroom"
"Xixia Black Mushroom (1)","Edible Mushroom"
"Xixia Black Mushroom (2)","Edible Mushroom"
"Xixia Mushroom (1)","Edible Mushroom"
"Xixia Xianggu Mushroom (2)","Edible Mushroom"
"Xixia Xianggu Mushroom (Bag)","Edible Mushroom"
"Yellow Baicai (1)",Flower/Leaf Vegetables
"Yellow Xincai (1)",Flower/Leaf Vegetables
Youcaitai,Flower/Leaf Vegetables
Yuganjiao,Capsicum
"Yunnan Leaf Lettuce (Bag)",Flower/Leaf Vegetables
"Yunnan Lettuce (Bag)",Flower/Leaf Vegetables
"Yunnan Lettuces",Flower/Leaf Vegetables
"Yunnan Shengcai",Flower/Leaf Vegetables
"Yuxingcao ",Flower/Leaf Vegetables
"Yuxingcao (Bag)",Flower/Leaf Vegetables
"Zhijiang Qinggengsanhua",Cabbage
"Zhijiang Red Bolt",Flower/Leaf Vegetables
"Zhijiang Red Bolt (Bag)",Flower/Leaf Vegetables
Zhimaxiancai,Flower/Leaf Vegetables
Zhuyecai,Flower/Leaf Vegetables
"Zhuyecai (Bag)",Flower/Leaf Vegetables
