ProductName,LossRate
"Yuxingcao (Bag)",9.43%
"Haixian Mushroom (Bag)",9.43%
"Fresh Edible Fungus (Bag)",9.43%
"Millet Pepper (Bag)",9.43%
"Green Hot Peppers (Bag)",9.43%
"7 Colour Pepper (Bag)",9.43%
"Bell Pepper (Bag)",9.43%
"Red Bell Pepper (Bag)",9.43%
"Agaricus Bisporus (Bag)",9.43%
"Needle Mushroom (Bag)",9.43%
"Jigu (Bag)",9.43%
"Xiaozhoupi (Bag)",9.43%
"Water Chestnut (Bag)",9.43%
"Wuhu Green Pepper (Bag)",9.43%
"Basil (Bag)",9.43%
"Green Hang Pepper (Bag)",9.43%
"Red Hang Pepper (Bag)",9.43%
"Fruit Pepper (Bag)",9.43%
"Green Line Pepper (Bag)",9.43%
"Red Hot Peppers (Bag)",9.43%
"Luosi Pepper (Bag)",9.43%
"7 Colour Pepper (2)",9.43%
"Bell Pepper (2)",9.43%
"Red Bell Pepper (2)",9.43%
"Yuxingcao ",9.43%
"Xixia Xianggu Mushroom (2)",9.43%
"Fresh Edible Fungus (2)",9.43%
"Fresh Sea (2)",9.43%
"Jigu (2)",9.43%
"High Melon (2)",9.43%
"Zhuyecai (Bag)",9.43%
"Ginger And Xiaomijiao Mix (Small Bag)",9.43%
"Hongshujian (Bag)",9.43%
"Caidian Quinoa Artemisia (Bag)",9.43%
"Red Coral (Leaf)",9.43%
"Red Oak Leaf",9.43%
"Green Butter",9.43%
"Powcan Mountain Chinese Cabbage ",9.43%
"Purple Cabbage (2)",9.43%
"Huangxincai (2)",9.43%
"Needle Mushroom (2)",9.43%
"Apricot Bao Mushroom (2)",9.43%
"Xixia Black Mushroom (2)",9.43%
"Green Eggplant (2)",9.43%
"Eggplant (1)",9.43%
"Round Eggplant (1)",9.43%
"Zhijiang Qinggengsanhua",9.43%
"Amaranth (Bag)",9.43%
"Chinese Cabbage (Bag)",9.43%
"Xiaoqingcai (Bag)",9.43%
"Cabbage Stem (Bag)",9.43%
"Red Pepper (Bag)",9.43%
"Green And Red Hang Pepper Mix (Bag)",9.43%
"Black Mushroom (Bag)",9.43%
"Honghu Lotus (Lotus Root)",9.43%
"The Fungus Mushroom Hot Pot Package (Bag)",9.43%
"Red Pepper (2)",9.43%
"Foreign Garland Chrysanthemum  (Bag)",9.43%
"Net Lotus Root (3)",9.43%
Longyacai,9.43%
"Yellow Baicai (1)",9.43%
"Xixia Xianggu Mushroom (Bag)",9.43%
"Wild Lotus Root (2)",9.43%
"Mushroom And Leaf Mix (Bag)",9.43%
"Green And Red Jian Pepper Mix (Bag)",9.43%
"Muercai (Bag)",9.43%
"Xianzongye (Bag) (3)",9.43%
Broccoli,9.35%
"Hongshan Caitai",9.34%
Aihao,9.27%
"The Crab Flavor Mushroom (1)",9.24%
"Tremella (Flower)",9.14%
"Green Hangzhou Pepper (2)",9%
"Jigu Mushroom (1)",8.99%
"The Red Bell Pepper (1)",8.93%
"Needle Mushroom (Bag) (1)",8.85%
"White Caitai",8.78%
"Wuhu Green Pepper (2)",8.78%
"Chopped Red Pine",8.75%
Xiaozhoupi,8.71%
Hongshujian,8.42%
Wandoujian,8.36%
"Embroidered Aureus (Bag)",8.34%
"The Steak Mushrooms",8.11%
"Wild Lotus Root (1)",7.97%
"Green Line Pepper",7.8%
"Red Line Pepper",7.71%
"Fresh Black Fungus (1)",7.63%
Muercai,7.61%
"The White Mushroom (2)",7.3%
"Paopaojiao (Jingpin)",7.08%
"Hua Eggplant",6.98%
Changxianqie,6.9%
"Red Hot Peppers",6.73%
"The Local Yellow Youcai",6.73%
"Green Hot Peppers",6.72%
"Round Eggplant (2)",6.71%
"Needle Mushroom (Bag) (2)",6.64%
"The White Mushroom (Bag)",6.57%
"Garden Chrysanthemum",6.27%
"Eggplant (2)",6.07%
"Haixian Mushroom (Bag) (1)",5.96%
"Millet Pepper",5.86%
"Wuhu Green Pepper (1)",5.7%
"Net Lotus Root (1)",5.54%
"Radish Leaves",5.35%
"Apricot Bao Mushroom (1)",5.05%
"Green Eggplant (1)",5.01%
"Big Broccoli",4.69%
"Niushou Shengcai",4.39%
"Needle Mushroom (1)",3.43%
"Juhua Youcai",3.43%
Wawacai,2.48%
"Haixian Mushroom (Bag) (3)",1.3%
"Crab Flavor Mushroom And White Mushroom Mix (Box)",0.84%
"Caidian Quinoa Artemisia",0.47%
"Needle Mushroom (Box)",0.45%
"Round Eggplant",0.32%
"Agaricus Bisporus (Box)",0.2%
"Local Xiaomao Cabbage",0.18%
"Fruit Chili",0.18%
"Hfyg Haixian Mushroom (Bunch)",0.12%
"Black Rapeseed",0.1%
"Green Hangjiao (1)",0%
Lameizi,0%
"Purple Screw Pepper",0%
"Hongshan Shoutidai",0%
"Hongshan Gift Box",0%
"Chopped Red Pine (Box)",0%
"The Pork Stomach Mushroom (Box)",0%
"Black Porcini (Box)",0%
"Black Chicken Fir Bacteria (Box)",0%
"Xiangtianhongcaitai (Bag)",0%
"Artemisia Stelleriana",0%
Zhimaxiancai,0%
Xianzongye,0%
"Xianzongye (Bag) (1)",0%
"Chinese Cabbage Seedling",0%
"Velvet Antler Mushroom (Box)",0%
"Lotus Root Tip",0%
"Haixian Mushroom (Bag) (2)",0%
"The White Mushroom (Box)",0%
"The Crab Flavor Mushroom (Box)",0%
"Haixian Mushroom (Bunch)",0%
"Xianzongye (Bag) (2)",0%
