Date,HighestSales
2021-01-04,¥16.03
2021-01-05,¥25.87
2021-01-06,¥27.18
2021-01-07,¥22.22
2021-01-08,¥16.42
2021-01-09,¥19.03
2021-01-10,¥21.04
2021-01-11,¥19.52
2021-01-12,¥16.52
2021-01-13,¥26.54
2021-01-14,¥24.14
2021-01-15,¥28.26
2021-01-16,¥18.13
2021-01-17,¥26.45
2021-01-18,¥25.7
2021-01-19,¥31.4
2021-01-20,¥36.02
2021-01-21,¥21.69
2021-01-22,¥31.11
2021-01-23,¥25.81
2021-01-24,¥20.81
2021-01-25,¥29.56
2021-01-26,¥22.63
2021-01-27,¥22.45
2021-01-28,¥23.95
2021-01-29,¥17.23
2021-01-30,¥25.65
2021-01-31,¥24.66
2021-02-01,¥22.65
2021-02-02,¥21.35
2021-02-03,¥17.9
2021-02-04,¥24.9
2021-02-05,¥24.16
2021-02-06,¥26.29
2021-02-07,¥64.5
2021-02-08,¥30.01
2021-02-09,¥72.18
2021-02-10,¥45.76
2021-02-13,¥46.98
2021-02-14,¥57.74
2021-02-15,¥40.75
2021-02-16,¥41.57
2021-02-17,¥27.55
2021-02-18,¥24.2
2021-02-19,¥44.28
2021-02-20,¥21.34
2021-02-21,¥26.7
2021-02-22,¥28.49
2021-02-23,¥18.63
2021-02-24,¥23.69
2021-02-25,¥23.75
2021-02-26,¥21.01
2021-02-27,¥17.54
2021-02-28,¥16.62
2021-03-01,¥18.72
2021-03-02,¥17.11
2021-03-03,¥26.91
2021-03-04,¥16.73
2021-03-05,¥99.5
2021-03-06,¥39.03
2021-03-07,¥22.95
2021-03-08,¥19.34
2021-03-09,¥22.3
2021-03-10,¥16.03
2021-03-11,¥14.74
2021-03-12,¥32.51
2021-03-13,¥27.66
2021-03-14,¥20.21
2021-03-15,¥16.23
2021-03-16,¥15.63
2021-03-17,¥15.4
2021-03-18,¥17.78
2021-03-19,¥19.84
2021-03-20,¥20.64
2021-03-21,¥18.54
2021-03-22,¥13.9
2021-03-23,¥25.24
2021-03-24,¥15.04
2021-03-25,¥14.62
2021-03-26,¥22.72
2021-03-27,¥19.14
2021-03-28,¥18.84
2021-03-29,¥13.9
2021-03-30,¥13.9
2021-03-31,¥15.43
2021-04-01,¥17.44
2021-04-02,¥21.04
2021-04-03,¥17.85
2021-04-04,¥28.17
2021-04-05,¥16.44
2021-04-06,¥9.12
2021-04-07,¥13.9
2021-04-08,¥15.12
2021-04-09,¥19.42
2021-04-10,¥15.12
2021-04-11,¥15.53
2021-04-12,¥13.9
2021-04-13,¥13.9
2021-04-14,¥13.9
2021-04-15,¥13.83
2021-04-16,¥15.21
2021-04-17,¥14.03
2021-04-18,¥19.04
2021-04-19,¥13.9
2021-04-20,¥13.9
2021-04-21,¥17.13
2021-04-22,¥21.74
2021-04-23,¥13.9
2021-04-24,¥47.45
2021-04-25,¥13.93
2021-04-26,¥13.9
2021-04-27,¥14.73
2021-04-28,¥17.62
2021-04-29,¥13.9
2021-04-30,¥21.14
2021-05-01,¥18.84
2021-05-02,¥20.84
2021-05-03,¥22.95
2021-05-04,¥21.14
2021-05-05,¥19.94
2021-05-06,¥13.9
2021-05-07,¥13.9
2021-05-08,¥13.9
2021-05-09,¥19.9
2021-05-10,¥19.9
2021-05-11,¥19.9
2021-05-12,¥19.9
2021-05-13,¥24.73
2021-05-14,¥19.9
2021-05-15,¥13.02
2021-05-16,¥20.64
2021-05-17,¥13.9
2021-05-18,¥30
2021-05-19,¥16.73
2021-05-20,¥13.9
2021-05-21,¥13.9
2021-05-22,¥14.53
2021-05-23,¥80
2021-05-24,¥18.54
2021-05-25,¥12.53
2021-05-26,¥13.9
2021-05-27,¥17.54
2021-05-28,¥13.9
2021-05-29,¥16.03
2021-05-30,¥13.9
2021-05-31,¥13.9
2021-06-01,¥13.9
2021-06-02,¥10.82
2021-06-03,¥25
2021-06-04,¥180
2021-06-05,¥16.9
2021-06-06,¥16.9
2021-06-07,¥16.9
2021-06-08,¥16.9
2021-06-09,¥18.52
2021-06-10,¥23.53
2021-06-11,¥18.11
2021-06-12,¥28.03
2021-06-13,¥23.2
2021-06-14,¥22.22
2021-06-15,¥16.9
2021-06-16,¥16.9
2021-06-17,¥16.4
2021-06-18,¥18.9
2021-06-19,¥16.9
2021-06-20,¥20.21
2021-06-21,¥22.73
2021-06-22,¥32.99
2021-06-23,¥16.9
2021-06-24,¥16.9
2021-06-25,¥19.82
2021-06-26,¥21.33
2021-06-27,¥17.11
2021-06-28,¥16.9
2021-06-29,¥25.44
2021-06-30,¥16.9
2021-07-01,¥16.9
2021-07-02,¥19.03
2021-07-03,¥16.9
2021-07-04,¥24.22
2021-07-05,¥13.71
2021-07-06,¥16.9
2021-07-07,¥13.82
2021-07-08,¥18.93
2021-07-09,¥15.22
2021-07-10,¥32.14
2021-07-11,¥16.9
2021-07-12,¥16.13
2021-07-13,¥17.42
2021-07-14,¥16.9
2021-07-15,¥17.01
2021-07-16,¥14.21
2021-07-17,¥19.49
2021-07-18,¥19.3
2021-07-19,¥23.74
2021-07-20,¥13.42
2021-07-21,¥18.22
2021-07-22,¥41.65
2021-07-23,¥14.42
2021-07-24,¥19.24
2021-07-25,¥18.13
2021-07-26,¥18.11
2021-07-27,¥23.09
2021-07-28,¥32
2021-07-29,¥16.9
2021-07-30,¥14.91
2021-07-31,¥23.78
2021-08-01,¥16.9
2021-08-02,¥23.6
2021-08-03,¥24.79
2021-08-04,¥16.9
2021-08-05,¥16.9
2021-08-06,¥27.21
2021-08-07,¥36.51
2021-08-08,¥26.5
2021-08-09,¥27.26
2021-08-10,¥34.2
2021-08-11,¥16.9
2021-08-12,¥18.9
2021-08-13,¥16.9
2021-08-14,¥21.57
2021-08-15,¥17.07
2021-08-16,¥16.9
2021-08-17,¥14.81
2021-08-18,¥18.24
2021-08-19,¥18.17
2021-08-20,¥49.92
2021-08-21,¥30.83
2021-08-22,¥18.88
2021-08-23,¥22.39
2021-08-24,¥20.45
2021-08-25,¥14.67
2021-08-26,¥15.46
2021-08-27,¥17.47
2021-08-28,¥16.92
2021-08-29,¥16.18
2021-08-30,¥15.07
2021-08-31,¥25.37
2021-09-01,¥23.91
2021-09-02,¥24.59
2021-09-03,¥13.47
2021-09-04,¥14.45
2021-09-05,¥23.26
2021-09-06,¥19.56
2021-09-07,¥23.56
2021-09-08,¥16.24
2021-09-09,¥15.4
2021-09-10,¥20
2021-09-11,¥20.91
2021-09-12,¥15.47
2021-09-13,¥14.56
2021-09-14,¥23.22
2021-09-15,¥26.35
2021-09-16,¥19.52
2021-09-17,¥17.4
2021-09-18,¥14.35
2021-09-19,¥16.5
2021-09-20,¥19.9
2021-09-21,¥16.2
2021-09-22,¥12.1
2021-09-23,¥13.14
2021-09-24,¥11.4
2021-09-25,¥18.81
2021-09-26,¥22.2
2021-09-27,¥25.37
2021-09-28,¥13.5
2021-09-29,¥17.21
2021-09-30,¥19.89
2021-10-01,¥36.18
2021-10-02,¥14.2
2021-10-03,¥19.4
2021-10-04,¥11.86
2021-10-05,¥16.58
2021-10-06,¥18.5
2021-10-07,¥15.29
2021-10-08,¥17.21
2021-10-09,¥17.34
2021-10-10,¥23.07
2021-10-11,¥16.67
2021-10-12,¥16.59
2021-10-13,¥17.05
2021-10-14,¥13.33
2021-10-15,¥297
2021-10-16,¥29.1
2021-10-17,¥14.94
2021-10-18,¥21.07
2021-10-19,¥12.61
2021-10-20,¥26.31
2021-10-21,¥23.17
2021-10-22,¥18.59
2021-10-23,¥20.59
2021-10-24,¥17.76
2021-10-25,¥18.65
2021-10-26,¥20
2021-10-27,¥21.13
2021-10-28,¥16.2
2021-10-29,¥19.04
2021-10-30,¥34.73
2021-10-31,¥17.44
2021-11-01,¥25.3
2021-11-02,¥14.94
2021-11-03,¥19.03
2021-11-04,¥12.14
2021-11-05,¥19.07
2021-11-06,¥17.95
2021-11-07,¥21.76
2021-11-08,¥17.76
2021-11-09,¥14.58
2021-11-10,¥15.69
2021-11-11,¥15.23
2021-11-12,¥21.36
2021-11-13,¥16.45
2021-11-14,¥21.86
2021-11-15,¥13.73
2021-11-16,¥18.45
2021-11-17,¥14.58
2021-11-18,¥19.44
2021-11-19,¥27.99
2021-11-20,¥17.74
2021-11-21,¥19.55
2021-11-22,¥22.86
2021-11-23,¥15.34
2021-11-24,¥77.73
2021-11-25,¥15.23
2021-11-26,¥13.85
2021-11-27,¥15.55
2021-11-28,¥20.05
2021-11-29,¥14.24
2021-11-30,¥12.05
2021-12-01,¥21.42
2021-12-02,¥15.14
2021-12-03,¥15.34
2021-12-04,¥15.34
2021-12-05,¥18.06
2021-12-06,¥13.82
2021-12-07,¥20.57
2021-12-08,¥21.02
2021-12-09,¥19.36
2021-12-10,¥15.08
2021-12-11,¥14.39
2021-12-12,¥15.61
2021-12-13,¥16.14
2021-12-14,¥16.45
2021-12-15,¥21.88
2021-12-16,¥18.43
2021-12-17,¥12.25
2021-12-18,¥20.44
2021-12-19,¥10.24
2021-12-20,¥19.93
2021-12-21,¥14.86
2021-12-22,¥18.32
2021-12-23,¥16.51
2021-12-24,¥22.25
2021-12-25,¥31.04
2021-12-26,¥20.06
2021-12-27,¥22.15
2021-12-28,¥10.37
2021-12-29,¥19.8
2021-12-30,¥19.8
2021-12-31,¥19.8
2022-01-01,¥17.32
2022-01-02,¥19.8
2022-01-03,¥83.96
2022-01-04,¥19.73
2022-01-05,¥16.8
2022-01-06,¥16.81
2022-01-07,¥13.64
2022-01-08,¥19.26
2022-01-09,¥15.85
2022-01-10,¥19.76
2022-01-11,¥16.15
2022-01-12,¥14.04
2022-01-13,¥12.58
2022-01-14,¥18.86
2022-01-15,¥13.31
2022-01-16,¥12.8
2022-01-17,¥13.91
2022-01-18,¥13.89
2022-01-19,¥22.55
2022-01-20,¥16.81
2022-01-21,¥18.91
2022-01-22,¥24.6
2022-01-23,¥30.61
2022-01-24,¥34.62
2022-01-25,¥45.05
2022-01-26,¥37.22
2022-01-27,¥42.95
2022-01-28,¥37.22
2022-01-29,¥40.32
2022-01-30,¥36.81
2022-02-01,¥26.08
2022-02-02,¥35.41
2022-02-03,¥397.49
2022-02-04,¥35.42
2022-02-05,¥17.16
2022-02-06,¥23.78
2022-02-07,¥19.87
2022-02-08,¥72.42
2022-02-09,¥26.21
2022-02-10,¥17.97
2022-02-11,¥21.59
2022-02-12,¥20.2
2022-02-13,¥19.5
2022-02-14,¥16.78
2022-02-15,¥18.7
2022-02-16,¥22.21
2022-02-17,¥12.26
2022-02-18,¥15.28
2022-02-19,¥18.59
2022-02-20,¥15.38
2022-02-21,¥17.09
2022-02-22,¥13.4
2022-02-23,¥13.66
2022-02-24,¥16.25
2022-02-25,¥15.34
2022-02-26,¥22.16
2022-02-27,¥15.69
2022-02-28,¥12.79
2022-03-01,¥13.01
2022-03-02,¥14.74
2022-03-03,¥14.96
2022-03-04,¥17.51
2022-03-05,¥17.85
2022-03-06,¥16.74
2022-03-07,¥15.95
2022-03-08,¥19.31
2022-03-09,¥23.51
2022-03-10,¥12.97
2022-03-11,¥18.16
2022-03-12,¥16.01
2022-03-13,¥16.92
2022-03-14,¥19.94
2022-03-15,¥15.63
2022-03-16,¥14.81
2022-03-17,¥19.94
2022-03-18,¥17.65
2022-03-19,¥45
2022-03-20,¥22.41
2022-03-21,¥20.72
2022-03-22,¥18.5
2022-03-23,¥33.3
2022-03-24,¥22.21
2022-03-25,¥16.49
2022-03-26,¥35.11
2022-03-27,¥18.39
2022-03-28,¥15.1
2022-03-29,¥20.39
2022-03-30,¥24.2
2022-03-31,¥18.71
2022-04-01,¥35.47
2022-04-02,¥18.41
2022-04-03,¥16.68
2022-04-04,¥19.8
2022-04-05,¥21
2022-04-06,¥20.59
2022-04-07,¥18.39
2022-04-08,¥16.19
2022-04-09,¥22.61
2022-04-10,¥20.96
2022-04-11,¥20.41
2022-04-12,¥19.9
2022-04-13,¥19.9
2022-04-14,¥50
2022-04-15,¥15.01
2022-04-16,¥18.35
2022-04-17,¥22.21
2022-04-18,¥14.91
2022-04-19,¥18.19
2022-04-20,¥16.74
2022-04-21,¥16.14
2022-04-22,¥16.14
2022-04-23,¥16.88
2022-04-24,¥17.33
2022-04-25,¥12.8
2022-04-26,¥14.17
2022-04-27,¥11.8
2022-04-28,¥16.68
2022-04-29,¥15.89
2022-04-30,¥12.8
2022-05-01,¥37.43
2022-05-02,¥12.81
2022-05-03,¥13.94
2022-05-04,¥14.24
2022-05-05,¥19.24
2022-05-06,¥12.13
2022-05-07,¥14.38
2022-05-08,¥15.54
2022-05-09,¥16.59
2022-05-10,¥14.59
2022-05-11,¥25.3
2022-05-12,¥15.39
2022-05-13,¥12.91
2022-05-14,¥15.77
2022-05-15,¥13.46
2022-05-16,¥9.42
2022-05-17,¥13.85
2022-05-18,¥10.13
2022-05-19,¥11.14
2022-05-20,¥20.6
2022-05-21,¥17.68
2022-05-22,¥20.6
2022-05-23,¥14.56
2022-05-24,¥12.1
2022-05-25,¥21.2
2022-05-26,¥20.19
2022-05-27,¥16.37
2022-05-28,¥19.51
2022-05-29,¥28.42
2022-05-30,¥12.22
2022-05-31,¥19.5
2022-06-01,¥12.7
2022-06-02,¥17.55
2022-06-03,¥19.5
2022-06-04,¥13.04
2022-06-05,¥20.51
2022-06-06,¥11.31
2022-06-07,¥20.89
2022-06-08,¥13.21
2022-06-09,¥944
2022-06-10,¥19.7
2022-06-11,¥24.29
2022-06-12,¥17.2
2022-06-13,¥17.2
2022-06-14,¥23.12
2022-06-15,¥13.8
2022-06-16,¥14.01
2022-06-17,¥20.62
2022-06-18,¥29
2022-06-19,¥32.59
2022-06-20,¥17.21
2022-06-21,¥20.16
2022-06-22,¥31.79
2022-06-23,¥22.55
2022-06-24,¥20.79
2022-06-25,¥28.6
2022-06-26,¥21.2
2022-06-27,¥21.11
2022-06-28,¥24.5
2022-06-29,¥24.49
2022-06-30,¥12.8
2022-07-01,¥20.41
2022-07-02,¥19.05
2022-07-03,¥100
2022-07-04,¥19.09
2022-07-05,¥17.91
2022-07-06,¥30.19
2022-07-07,¥28.59
2022-07-08,¥24.16
2022-07-09,¥20.06
2022-07-10,¥19.6
2022-07-11,¥20.82
2022-07-12,¥16.3
2022-07-13,¥13.11
2022-07-14,¥14.95
2022-07-15,¥20.9
2022-07-16,¥19
2022-07-17,¥23.4
2022-07-18,¥19.39
2022-07-19,¥20
2022-07-20,¥25.01
2022-07-21,¥17.79
2022-07-22,¥24.8
2022-07-23,¥28.71
2022-07-24,¥22
2022-07-25,¥24.9
2022-07-26,¥21.9
2022-07-27,¥20
2022-07-28,¥25.52
2022-07-29,¥47.21
2022-07-30,¥18.2
2022-07-31,¥18.91
2022-08-01,¥19.09
2022-08-02,¥18.5
2022-08-03,¥16.08
2022-08-04,¥37.3
2022-08-05,¥18.09
2022-08-06,¥11.56
2022-08-07,¥36.44
2022-08-08,¥34
2022-08-09,¥15.22
2022-08-10,¥20
2022-08-11,¥18.8
2022-08-12,¥28.21
2022-08-13,¥29.7
2022-08-14,¥29.67
2022-08-15,¥20
2022-08-16,¥15.51
2022-08-17,¥19.8
2022-08-18,¥24.72
2022-08-19,¥44.81
2022-08-20,¥19.09
2022-08-21,¥15.69
2022-08-22,¥20
2022-08-23,¥20
2022-08-24,¥13.18
2022-08-25,¥13.42
2022-08-26,¥12.26
2022-08-27,¥16.92
2022-08-28,¥25.44
2022-08-29,¥12.77
2022-08-30,¥20.34
2022-08-31,¥17.7
2022-09-01,¥20.27
2022-09-02,¥13.94
2022-09-03,¥24.55
2022-09-04,¥16.04
2022-09-05,¥20
2022-09-06,¥21.46
2022-09-07,¥20
2022-09-08,¥17.09
2022-09-09,¥26.91
2022-09-10,¥20
2022-09-11,¥31.3
2022-09-12,¥21.66
2022-09-13,¥18.3
2022-09-14,¥16.09
2022-09-15,¥10.8
2022-09-16,¥13.34
2022-09-17,¥24.46
2022-09-18,¥19.21
2022-09-19,¥13.91
2022-09-20,¥17.46
2022-09-21,¥15.05
2022-09-22,¥13.33
2022-09-23,¥11.8
2022-09-24,¥17.16
2022-09-25,¥17.53
2022-09-26,¥29
2022-09-27,¥14.1
2022-09-28,¥16.05
2022-09-29,¥25.77
2022-09-30,¥18.12
2022-10-01,¥15.46
2022-10-02,¥14.69
2022-10-03,¥13.44
2022-10-04,¥20.27
2022-10-05,¥30.13
2022-10-06,¥16.9
2022-10-07,¥17.53
2022-10-08,¥13.8
2022-10-09,¥12.98
2022-10-10,¥36
2022-10-11,¥17.42
2022-10-12,¥12.59
2022-10-13,¥13.89
2022-10-14,¥15.98
2022-10-15,¥11.84
2022-10-16,¥20.12
2022-10-17,¥12.13
2022-10-18,¥14.33
2022-10-19,¥19.16
2022-10-20,¥14.95
2022-10-21,¥16.45
2022-10-22,¥450
2022-10-23,¥13.34
2022-10-24,¥13.44
2022-10-25,¥13.34
2022-10-26,¥12.49
2022-10-27,¥13.85
2022-10-28,¥12.89
2022-10-29,¥13.5
2022-10-30,¥10.82
2022-10-31,¥14.91
2022-11-01,¥10.8
2022-11-03,¥13.54
2022-11-05,¥19.34
2022-11-06,¥26.06
2022-11-07,¥17.84
2022-11-08,¥10.8
2022-11-09,¥16.08
2022-11-10,¥10.8
2022-11-11,¥10.8
2022-11-12,¥13.3
2022-11-13,¥15.75
2022-11-14,¥11.39
2022-11-15,¥10.8
2022-11-16,¥22.96
2022-11-17,¥18.16
2022-11-18,¥13.34
2022-11-19,¥22.36
2022-11-20,¥21.6
2022-11-21,¥17.23
2022-11-22,¥11.94
2022-11-23,¥24.48
2022-11-24,¥18.47
2022-11-25,¥21.96
2022-11-26,¥18.03
2022-11-27,¥11.38
2022-11-28,¥10.8
2022-11-29,¥12.99
2022-12-04,¥11.88
2022-12-05,¥10.8
2022-12-06,¥19.15
2022-12-07,¥23.55
2022-12-08,¥14.21
2022-12-09,¥22.45
2022-12-10,¥16.65
2022-12-11,¥24.27
2022-12-12,¥16.03
2022-12-13,¥10.8
2022-12-14,¥18.55
2022-12-15,¥11.8
2022-12-16,¥21.6
2022-12-17,¥15.16
2022-12-18,¥13.85
2022-12-19,¥17.25
2022-12-20,¥15.64
2022-12-21,¥14.34
2022-12-22,¥14.63
2022-12-23,¥14.12
2022-12-24,¥12.5
2022-12-25,¥10.8
2022-12-26,¥14.95
2022-12-27,¥14.64
2022-12-28,¥20.75
2022-12-29,¥14.53
2022-12-30,¥19.95
2022-12-31,¥13.16
2023-01-01,¥23.35
2023-01-02,¥39.9
2023-01-03,¥17.25
2023-01-04,¥15.63
2023-01-05,¥14.43
2023-01-06,¥14.84
2023-01-07,¥21.59
2023-01-08,¥15.85
2023-01-09,¥15.35
2023-01-10,¥13.31
2023-01-11,¥16.9
2023-01-12,¥32.49
2023-01-13,¥18.07
2023-01-14,¥64.8
2023-01-15,¥183.6
2023-01-16,¥20.05
2023-01-17,¥108
2023-01-18,¥86.4
2023-01-19,¥26.28
2023-01-20,¥26.77
2023-01-22,¥22.57
2023-01-23,¥26.18
2023-01-24,¥19.66
2023-01-25,¥32.5
2023-01-26,¥20.59
2023-01-27,¥50.3
2023-01-28,¥15.05
2023-01-29,¥21.6
2023-01-30,¥15.53
2023-01-31,¥15.54
2023-02-01,¥15.31
2023-02-02,¥17.56
2023-02-03,¥14.15
2023-02-04,¥17.14
2023-02-05,¥14.04
2023-02-06,¥12.45
2023-02-07,¥14.05
2023-02-08,¥19.16
2023-02-09,¥11.94
2023-02-10,¥14.81
2023-02-11,¥17.5
2023-02-12,¥18.46
2023-02-13,¥10.8
2023-02-14,¥10.8
2023-02-15,¥13.6
2023-02-16,¥18.06
2023-02-17,¥16.1
2023-02-18,¥19.6
2023-02-19,¥15.55
2023-02-20,¥21.3
2023-02-21,¥37.08
2023-02-22,¥15.92
2023-02-23,¥13.43
2023-02-24,¥14.64
2023-02-25,¥22.18
2023-02-26,¥15.46
2023-02-27,¥16.54
2023-02-28,¥13.31
2023-03-01,¥15.44
2023-03-02,¥12.14
2023-03-03,¥19.96
2023-03-04,¥15.15
2023-03-05,¥13.64
2023-03-06,¥17.21
2023-03-07,¥13.49
2023-03-08,¥27.4
2023-03-09,¥64.8
2023-03-10,¥17.96
2023-03-11,¥36.79
2023-03-12,¥14.24
2023-03-13,¥18.46
2023-03-14,¥15.23
2023-03-15,¥14.34
2023-03-16,¥13.11
2023-03-17,¥13.7
2023-03-18,¥17.07
2023-03-19,¥27.5
2023-03-20,¥18.51
2023-03-21,¥16.09
2023-03-22,¥12.9
2023-03-23,¥14.6
2023-03-24,¥14.9
2023-03-25,¥16.01
2023-03-26,¥18.7
2023-03-27,¥15.06
2023-03-28,¥23.7
2023-03-29,¥20.89
2023-03-30,¥24.5
2023-03-31,¥15.81
2023-04-01,¥14.4
2023-04-02,¥22.5
2023-04-03,¥11.8
2023-04-04,¥13.61
2023-04-05,¥23.09
2023-04-06,¥12.3
2023-04-07,¥13.5
2023-04-08,¥15.36
2023-04-09,¥13.11
2023-04-10,¥15.43
2023-04-11,¥15.21
2023-04-12,¥14.16
2023-04-13,¥21.58
2023-04-14,¥13
2023-04-15,¥12.01
2023-04-16,¥13.31
2023-04-17,¥20.69
2023-04-18,¥14.2
2023-04-19,¥19.6
2023-04-20,¥12.19
2023-04-21,¥13.59
2023-04-22,¥15.58
2023-04-23,¥14.6
2023-04-24,¥14.26
2023-04-25,¥18.1
2023-04-26,¥13.38
2023-04-27,¥16.6
2023-04-28,¥18.78
2023-04-29,¥17.89
2023-04-30,¥12.9
2023-05-01,¥15.92
2023-05-02,¥11.8
2023-05-03,¥13.1
2023-05-04,¥13.91
2023-05-05,¥15.49
2023-05-06,¥13.86
2023-05-07,¥21.91
2023-05-08,¥19.46
2023-05-09,¥17
2023-05-10,¥14.31
2023-05-11,¥24.19
2023-05-12,¥22.5
2023-05-13,¥49.49
2023-05-14,¥12.75
2023-05-15,¥12.5
2023-05-16,¥17.86
2023-05-17,¥18.41
2023-05-18,¥15.55
2023-05-19,¥27.61
2023-05-20,¥15.9
2023-05-21,¥26.28
2023-05-22,¥15.13
2023-05-23,¥26.78
2023-05-24,¥19.9
2023-05-25,¥27.21
2023-05-26,¥25.17
2023-05-27,¥16.31
2023-05-28,¥16.1
2023-05-29,¥21.04
2023-05-30,¥16.99
2023-05-31,¥16.8
2023-06-01,¥16.4
2023-06-02,¥18.69
2023-06-03,¥16.84
2023-06-04,¥14.04
2023-06-05,¥18.01
2023-06-06,¥24.1
2023-06-07,¥22.75
2023-06-08,¥22.06
2023-06-09,¥16.95
2023-06-10,¥14.63
2023-06-11,¥25.6
2023-06-12,¥20.83
2023-06-13,¥18.43
2023-06-14,¥19.13
2023-06-15,¥19.54
2023-06-16,¥204
2023-06-17,¥21.86
2023-06-18,¥25.04
2023-06-19,¥39.86
2023-06-20,¥18.43
2023-06-21,¥17.24
2023-06-22,¥17.95
2023-06-23,¥17.84
2023-06-24,¥18.72
2023-06-25,¥15.25
2023-06-26,¥25.26
